address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
مجاوره 34,Roof,2,1,170 ,5,2020,Semi Finished,,"300,000"
"Other Neighborhoods, Sharqia",House / Home,3,1,140 ,2000,Lux,Side Street,,"2,400,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,70 ,1,2021,Super lux,,"350,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,67 ,4,2015,Super lux,Main Street,"300,000"
"10th of Ramadan, Greater Cairo",Factory,,,3800 ,2030,Super lux,Main Street,,"30,400,000"
"10th of Ramadan, Greater Cairo",Villas,10,4,450 ,1999,Super lux,Side Street,,"5,250,000"
"10th of Ramadan, Greater Cairo",Apartments,2,2,120 ,Ground,2008,Semi Finished,Main Street,"300,000"
"10th of Ramadan, Greater Cairo",Apartments,3,2,184 ,3,2021,Without Finish,Main Street,"864,000"
"10th of Ramadan, Greater Cairo",Apartments,3,2,160 ,3,Super lux,Main Street,,"1,470,000"
"10th of Ramadan, Greater Cairo",Apartments,3,2,155 ,2,Super lux,Main Street,,"850,000"
"10th of Ramadan, Greater Cairo",Apartments,3,1,135 ,1,2021,Semi Finished,Main Street,"445,500"
"10th of Ramadan, Greater Cairo",Apartments,3,2,130 ,4,2019,Super lux,Garden,"860,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,68 ,5,Super lux,Main Street,,"148,000"
"10th of Ramadan, Greater Cairo",House / Home,4,1,216 ,2007,Super lux,Main Street,,"4,750,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,70 ,3,2012,Semi Finished,Other,"190,000"
"10th of Ramadan, Greater Cairo",Apartments,3,1,90 ,2,Super lux,Main Street,,"350,000"
"10th of Ramadan, Greater Cairo",Building,,,360 ,2016,super_lux,Main Street,,"4,750,000"
العاشر من رمضان,Factory,,,9500 ,Super lux,Main Street,,,"40,000,000"
"10th of Ramadan, Greater Cairo",Apartments,3,1,157 ,1,Super lux,Main Street,,"850,000"
"10th of Ramadan, Greater Cairo",Separate Villa,10,6,300 ,2003,Super lux,Main Street,,"6,000,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,105 ,3,Super lux,Main Street,,"520,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,76 ,2,Super lux,Main Street,,"248,000"
"10th of Ramadan , 11th district",Apartments,2,1,70 ,4,2013,Semi Finished,Main Street,"180,000"
"10th of Ramadan, Greater Cairo",House / Home,4,1,175 ,2014,Super lux,Corner,,"1,250,000"
https://goo.gl/maps/7vxr3P2Ym85xCWtG6,Apartments,3,2,130 ,2,2021,Semi Finished,Side Street,"552,500"
"10th of Ramadan, Greater Cairo",Apartments,2,1,65 ,2,2021,Super lux,Side Street,"200,000"
"10th of Ramadan, Greater Cairo",Building,,,294 ,2000,Lux,Garden,,"3,700,000"
"10th of Ramadan, Greater Cairo",Factory,,,9500 ,Super lux,Main Street,,,"35,000,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,63 ,4,2009,Super lux,Garden,"225,000"
"10th of Ramadan, Greater Cairo",Apartments,3,1,125 ,4,Super lux,Main Street,,"485,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,1224 ,Main Street,,,,"3,250,000"
"10th of Ramadan, Greater Cairo",Factory,,,12700 ,Lux,Main Street,,,"450,000,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,702 ,Main Street,,,,"3,500,000"
القاهرة الكبرى/العاشر من رمضان,Industrial Land,,,2500 ,Main Street,,,,"4,500,000"
العاشر من رمضان المجاوره ال 9,Villas,3,3,280 ,3,2014,Super lux,Garden,"3,100,000"
"10th of Ramadan, Greater Cairo",Land,,,504 ,,,,,"600,000"
"10th of Ramadan, Greater Cairo",Apartments,3,2,90 ,4,Super lux,Main Street,,"170,000"
"10th of Ramadan, Greater Cairo",Building,,,324 ,2005,Super lux,Side Street,,"5,300,000"
"10th of Ramadan, Greater Cairo",Apartments,1,1,59 ,3,2008,Super lux,Side Street,"200,000"
"Sharqia City, Sharqia",Stores,,,47 ,Semi Finished,Main Street,,,"750,000"
"10th of Ramadan, Greater Cairo",Storage,,,4200 ,Main Street,,,,"1,250,000"
"Sharqia City, Sharqia",House / Home,3,1,200 ,2006,Super lux,Side Street,,"2,600,000"
بجوار دكتور جريش و شركه تريدكو الصياد و شركه فرش,Industrial Land,,,2500 ,Main Street,,,,"4,500,000"
"10th of Ramadan, Greater Cairo",Administrative,3,1,145 ,2,2030,Lux,Main Street,"990,000"
"10th of Ramadan, Greater Cairo",Apartments,2,2,95 ,2,2017,Super lux,Side Street,"410,000"
"10th of Ramadan, Greater Cairo",Administrative,2,1,100 ,3,2014,Super lux,Main Street,"1,300,000"
"10th of Ramadan, Greater Cairo",House / Home,3,2,276 ,2020,Without Finish,,,"950,000"
خلف دوار العاشر ومصنع فل و مصنع قوطه للصلب,Industrial Land,,,3800 ,Main Street,,,,"9,000,000"
"10th of Ramadan, Greater Cairo",Factory,,,290000 ,2010,Super lux,Corner,,"1,570,995,000"
"10th of Ramadan, Greater Cairo",Apartments,2,2,115 ,1,Super lux,,,"510,000"
الحي 12 المجاور 59,Apartments,2,1,70 ,3,2014,Semi Finished,,"230,000"
القاهرة الكبرى العاشر من رمضان,Commercial,,,10000 ,Semi Finished,Main Street,,,"18,000,000"
"10th of Ramadan, Greater Cairo",Apartments,3,2,122 ,1,Super lux,Main Street,,"650,000"
"10th of Ramadan, Greater Cairo",Apartments,3,2,160 ,2,Super lux,Main Street,,"850,000"
"10th of Ramadan, Greater Cairo",Storage,,,23000 ,Main Street,,,,"75,000,000"
"10th of Ramadan, Greater Cairo",Apartments,3,1,90 ,1,Super lux,Main Street,,"270,000"
المنطقة الصناعية,Industrial Land,,,3020 ,,,,,"7,000,000"
"Sharqia City, Sharqia",Separate Villa,5,1,600 ,2015,Super lux,Corner,,"8,000,000"
"10th of Ramadan, Greater Cairo",Factory,,,4632 ,1988,Super lux,Other,,"150,000,000"
"10th of Ramadan, Greater Cairo",Residential Land,,,629 ,Main Street,,,,"4,000,000"
"10th of Ramadan, Greater Cairo",Land,,,400 ,Main Street,,,,"800,000"
"10th of Ramadan, Greater Cairo",Apartments,4,2,170 ,3,2018,Without Finish,Garden,"500,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,2000 ,Main Street,,,,"4,200,000"
"10th of Ramadan, Greater Cairo",Apartments,3,2,165 ,3,2015,Semi Finished,Side Street,"800,000"
"10th of Ramadan, Greater Cairo",House / Home,,,222 ,Other,,,,"2,600,000"
"10th of Ramadan, Greater Cairo",Farm,,,84000 ,Nile,,,,"12,500,000"
"10th of Ramadan, Greater Cairo",Villas,3,2,180 ,2000,Super lux,Corner,,"2,500,000"
"10th of Ramadan, Greater Cairo",Apartments,3,2,175 ,2,2021,Super lux,Side Street,"1,000,000"
"10th of Ramadan, Greater Cairo",Apartments,3,2,165 ,3,2017,Without Finish,Side Street,"800,000"
"Sharqia City, Sharqia",Residential Land,,,276 ,Garden,,,,"750,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,12000 ,Main Street,,,,"15,600,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,12000 ,Main Street,,,,"15,600,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,2700 ,Main Street,,,,"3,850,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,2700 ,Main Street,,,,"4,500,000"
"10th of Ramadan, Greater Cairo",Commercial,,,70 ,Semi Finished,Main Street,,,"1,600,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,68 ,Ground,2021,Super lux,Side Street,"290,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,702 ,Main Street,,,,"3,500,000"
"10th of Ramadan, Greater Cairo",Building,,,180 ,2015,Without Finish,Side Street,,"2,000,000"
العاشر من رمضان، القاهرة الكبرى,Apartments,3,2,120 ,2,2007,Semi Finished,Main Street,"1,020,000"
