address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
New Administrative Capital,Apartments,3,3,156 ,7,2024,Semi Finished,Side Street,"1,860,000"
New Capital,Apartment with Garden,2,1,137 ,Ground,2023,Semi Finished,Garden,"2,403,612"
"Neighborhood 9th, El Ahyaa",Apartments,3,2,155 ,2,2021,Semi Finished,Main Street,"1,069,500"
"Ahmed Deif Allah St., El Mariotia",Apartments,2,2,115 ,5,2018,Without Finish,Side Street,"341,550"
"El Haram Street, El Haram",Apartments,3,2,120 ,6,2018,extra_super_lux,Side Street,"396,000"
"First Neighborhood, Bait El Watan",Apartments,3,3,180 ,1,2023,Semi Finished,Main Street,"1,080,000"
"Castle Landmark Compound - Castle Landmark, R7",Apartments,3,2,150 ,4,2021,Semi Finished,Garden,"1,639,800"
New Administrative Capital,Apartment with Garden,2,3,119 ,Ground,2024,Semi Finished,Garden,"1,564,900"
New Administrative Capital,Apartments,2,1,48 ,4,2023,Extra super lux,Main Street,"1,200,000"
"Southern Investors, New Cairo - Fifth Settlement - Tagamoa",Apartments,3,2,155 ,2,2015,Semi Finished,,"2,170,000"
New Administrative Capital,Apartment with Garden,1,1,155 ,Ground,2022,Lux,Main Street,"3,567,500"
"Bait El Watan, 6th of October",Apartments,4,3,275 ,2,2022,Semi Finished,Corner,"2,062,500"
"Atika Compound - New Plan, R7",Duplex,3,2,166 ,2,2021,Super lux,,"2,324,000"
"El Choueifat, New Cairo - Fifth Settlement - Tagamoa",Apartments,3,2,110 ,4,2015,Extra super lux,Main Street,"3,300,000"
كمباوند البارون سيتى المعادى,Apartments,3,2,170 ,5,Super lux,Main Street,,"1,675,000"
بالم هيز,Apartments,3,2,135 ,2,2024,Semi Finished,,"877,500"
"Fifth Neighborhood, Bait El Watan",Apartments,2,2,185 ,3,2023,Semi Finished,Main Street,"1,116,000"
"Al Hadaba Al Olya, Mokattam",Apartments,3,3,185 ,3,2014,Super lux,Side Street,"1,500,000"
