address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Street 9, Hadayek El Ahram",Apartments,3,2,190 ,3,2017,Super lux,Main Street,"850,000"
"E Area, Hadayek El Ahram",Furnished Apartment,3,2,165 ,6,2021,Super lux,,"950,000"
"Area A, Hadayek El Ahram",Apartments,3,2,200 ,3,2019,Super lux,Side Street,"1,000,000"
"Area Z, Hadayek El Ahram",Apartments,3,2,185 ,1,2021,Super lux,,"900,000"
شارع الجيش، حدائق الأهرام,Apartments,3,2,205 ,6,2015,Without Finish,,"880,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,2,1,108 ,3,2021,Super lux,,"570,000"
"Street 9, Hadayek El Ahram",Duplex,3,2,220 ,2,Super lux,,,"1,300,000"
"El Remaya, El Haram",Building,,,400 ,1995,Super lux,Side Street,,"22,500,000"
"Area N, Hadayek El Ahram",Apartments,3,2,165 ,5,2015,Super lux,Side Street,"800,000"
"Area L, Hadayek El Ahram",Apartments,4,3,470 ,Ground,2021,Super lux,,"1,500,000"
"Street 3, Hadayek El Ahram",Apartment with Garden,4,2,273 ,Ground,2005,Extra super lux,Side Street,"1,350,000"
"Area G, Hadayek El Ahram",Apartments,3,2,280 ,1,Super lux,,,"1,450,000"
"Area W, Hadayek El Ahram",Duplex,5,2,550 ,1,2011,Super lux,Garden,"1,990,000"
"Area M, Hadayek El Ahram",Apartments,2,2,150 ,2,2021,Super lux,,"600,000"
"E Area, Hadayek El Ahram",Full Floor,10,6,622 ,4,2000,Without Finish,Garden,"2,270,300"
"Area D, Hadayek El Ahram",Apartments,3,2,200 ,4,2021,Super lux,,"850,000"
"Area G, Hadayek El Ahram",Apartments,3,2,174 ,3,2021,Super lux,,"720,000"
1180 ط حدائق الأهرام بوابه 2 ش الواء حافظ بدوي,Apartments,3,2,250 ,5,2010,Super lux,Side Street,"1,250,000"
"Area A, Hadayek El Ahram",Apartments,3,3,245 ,3,2011,Super lux,Side Street,"850,000"
"Area G, Hadayek El Ahram",Apartments,3,2,135 ,3,2011,Super lux,Main Street,"600,000"
"Area A, Hadayek El Ahram",Apartments,3,2,200 ,2,2019,Super lux,Side Street,"1,000,000"
"Area H, Hadayek El Ahram",Apartments,3,1,135 ,2,2012,Super lux,Main Street,"550,000"
"Horus Street, Hadayek El Ahram",Furnished Apartment,3,2,164 ,3,2008,Super lux,Main Street,"650,000"
"Area L, Hadayek El Ahram",Villas,3,3,340 ,2008,Extra super lux,Side Street,,"1,500,000"
المنطقه ل، حدائق الأهرام,Apartments,3,1,180 ,1,2003,Semi Finished,Main Street,"600,000"
"Area H, Hadayek El Ahram",Penthouse,3,2,360 ,4,2013,Semi Finished,Main Street,"1,350,000"
"Area L, Hadayek El Ahram",Furnished Apartment,3,1,155 ,5,2021,Super lux,,"520,000"
"Area A, Hadayek El Ahram",Apartments,3,1,160 ,4,2010,Lux,Side Street,"680,000"
"Area H, Hadayek El Ahram",Apartments,3,3,225 ,2,2004,Super lux,Side Street,"1,100,000"
"Area N, Hadayek El Ahram",Villas,4,3,300 ,Ground,Super lux,Corner,,"2,300,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,3,2,200 ,5,2021,Super lux,,"800,000"
"Area W, Hadayek El Ahram",House / Home,2,1,500 ,2021,Super lux,,,"4,900,000"
"Area D, Hadayek El Ahram",Apartments,3,3,205 ,1,2010,Super lux,Side Street,"1,100,000"
"Area A, Hadayek El Ahram",Apartment with Garden,3,3,250 ,Ground,2011,Super lux,Side Street,"2,200,000"
"Area Z, Hadayek El Ahram",Apartments,2,1,100 ,1,2021,Super lux,,"450,000"
"Area S, Hadayek El Ahram",Apartments,3,2,170 ,2,2021,Super lux,,"710,000"
"Area L, Hadayek El Ahram",Duplex,3,3,260 ,Ground,2021,Super lux,,"830,000"
"Area Z, Hadayek El Ahram",Apartments,2,1,124 ,3,2010,Extra super lux,Corner,"580,000"
"Horus Street, Hadayek El Ahram",Apartment with Garden,2,2,130 ,1,2012,Super lux,Back,"685,000"
"El-Khazan St, Hadayek El Ahram",Apartments,3,2,145 ,3,Super lux,Garden,,"580,000"
منطقه ع ، متفرع من شارع حورس,Apartments,3,2,145 ,5,2009,Super lux,Back,"610,000"
"Street 3, Hadayek El Ahram",Apartments,3,2,169 ,4,Super lux,,,"800,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,3,2,165 ,3,2021,Super lux,,"340,000"
"Area B, Hadayek El Ahram",House / Home,3,2,500 ,2004,Lux,Side Street,,"5,500,000"
"Horus Street, Hadayek El Ahram",Stores,,,110 ,Super lux,Main Street,,,"1,870,000"
"Area H, Hadayek El Ahram",Duplex,3,3,340 ,1,2015,Super lux,Garden,"1,700,000"
"Street 6, Hadayek El Ahram",Twin House,3,3,355 ,2007,Super lux,Main Street,,"2,200,000"
52 ك,Apartments,3,3,200 ,1,2016,Super lux,Main Street,"750,000"
"Area G, Hadayek El Ahram",Apartments,4,3,286 ,2,2002,Super lux,Garden,"1,450,000"
"Street 6, Hadayek El Ahram",Twin House,3,3,355 ,2008,Super lux,Main Street,,"2,200,000"
317 منطقة ن (من بوابة مينا في شارع الجيش ثاني يمين من عند مطعم سبكترا في ثالث شمال شارع محمد محمود),Apartments,2,3,186 ,4,2007,Super lux,Side Street,"790,000"
"El-Gaish St., Hadayek El Ahram",Apartments,3,3,300 ,4,2015,Extra super lux,Main Street,"1,300,000"
"Bis No.8 St., Hadayek El Ahram",Stores,,,50 ,Super lux,,,,"400,000"
