address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Gamal Abd El Nasser, Madinat El Salam",Clinics,2,1,70 ,1,2000,Lux,Main Street,"200,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,4,2,175 ,7,2013,Extra super lux,Side Street,"550,000"
"Gamal Abd El Nasser, Madinat El Salam",Residential Land,,,115 ,Main Street,,,,"2,000,000"
"Gamal Abd El Nasser, Madinat El Salam",Residential Land,,,750 ,Main Street,,,,"11,000,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,1,100 ,1,1987,Lux,Side Street,"420,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,2,145 ,7,2000,Super lux,Side Street,"550,000"
"Al zohor compound near to Gamal Abd El Nasser, Madinat El Salam",Apartments,2,2,100 ,4,2004,Lux,Side Street,"350,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,2,105 ,4,2001,Lux,Side Street,"350,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,1,95 ,4,1993,Lux,Main Street,"300,000"
"Gamal Abd El Nasser, Madinat El Salam",Factory,,,300 ,2000,Side Street,,,"6,000,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,1,96 ,7,2000,Super lux,Main Street,"430,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,1,100 ,4,2002,Super lux,Side Street,"370,000"
مدينة الحرفيين - عمارات بنك الإسكان والتعمير,Apartments,2,1,107 ,Ground,2006,Super lux,Back,"420,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,1,68 ,2,1981,Lux,Side Street,"170,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,1,100 ,4,2002,Lux,Side Street,"370,000"
"Gamal Abd El Nasser, Madinat El Salam",Factory,,,300 ,2000,Lux,Side Street,,"5,500,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,2,165  ,3,2017,Extra super lux,Side Street,"650,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,1,95 ,4,1985,Super lux,Main Street,"560,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,4,1,150 ,5,2008,Without Finish,Side Street,"600,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,2,175 ,7,2007,Super lux,Main Street,"550,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,1,120 ,10,2020,Extra super lux,Side Street,"400,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,1, 70 ,5,2018,Super lux,Side Street,"180,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,2,150 ,2,2018,Extra super lux,Side Street,"600,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,2,131 ,3,2017,Super lux,Main Street,"620,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,1,110 ,2,2018,Super lux,Side Street,"300,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,2, 150 ,7,2007,Super lux,Side Street,"500,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,1,125 ,3,2010,Super lux,Main Street,"400,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,1,105 ,5,2021,Super lux,Side Street,"300,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,1,100 ,6,2021,Super lux,Side Street,"280,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,2,110 ,4,2019,Super lux,Side Street,"250,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,1,130 ,6,2020,Super lux,Side Street,"360,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,1,70 ,3,2017,Super lux,Main Street,"250,000"
٣١ عثمان بن عفان متفرع من شارع جمال عبدالناصر الحرفيين,Apartments ,3,2,175 ,7,2007,Super lux,Main Street,"520,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,1,120 ,4,1996,Super lux,Side Street,"360,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,5,90 ,1,2019,Super lux,Side Street,"250,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,1,70 ,3,2021,Super lux,Side Street,"180,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,1,100 ,3,2018,Super lux,Side Street,"340,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,1, 75 ,3,2019,Extra super lux,Side Street,"240,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,1,120 ,11,2021,Lux,Side Street,"420,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,1,95 ,3,2021,Super lux,Main Street,"560,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,1,120 ,3,2021,Super lux,Main Street,"450,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,1,100 ,5,2021,Super lux,Main Street,"400,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,1,100 ,2,2021,Super lux,Side Street,"280,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,1,140 ,4,2006,Super lux,Side Street,"560,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,2,1,86 ,3,2021,Super lux,Side Street,"320,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,1,160 ,5,2002,Super lux,Corner,"460,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,1,110 ,3,2019,Extra super lux,Side Street,"400,000"
