address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Port Said St., El Sayyeda Zeinab",Offices,2,1,100 ,4,Lux,Main Street,,"650,000"
بجوار مستشفي 57357 السيده زيب,Apartments,2,1,115 ,8,2012,Without Finish,Main Street,"315,000"
"El Sayeda Zainab Square, El Sayyeda Zeinab",Apartments,2,1, 120 ,3,2015,Super lux,Main Street,"900,000"
"Al Sad Al Barani, El Sayyeda Zeinab",Apartments,2,2,165 ,7,2014,Extra super lux,Main Street,"1,500,000"
"Port Said St., El Sayyeda Zeinab",House / Home,8,3,283 ,1962,Lux,Main Street,,"6,000,000"
"Omar Khayrat St., El Sayyeda Zeinab",Apartments,3,2,200 ,5,1970,Super lux,Main Street,"850,000"
"Darb Tolon, El Sayyeda Zeinab",Apartments,3,1,80 ,2,2030,Semi Finished,Main Street,"360,000"
"El Sayeda Zainab Square, El Sayyeda Zeinab",Apartments,2,1, 110 ,2,1977,Super lux,Corner,"600,000"
"Hasan Housny Ln, El Sayyeda Zeinab",House / Home,,,125 ,1962,Without Finish,Corner,,"1,000,000"
"Al Sad Al Barani, El Sayyeda Zeinab",Apartments,3,1,120 ,9,2009,Super lux,Main Street,"900,000"
"El-Shaikh Selim St., El Sayyeda Zeinab",Apartments,3,1,114 ,2,2003,Super lux,Side Street,"650,000"
"Mahmoud Bairam Al Tonsi St., El Sayyeda Zeinab",Apartments,3,1,90 ,3,1967,Super lux,Side Street,"500,000"
"Port Said St., El Sayyeda Zeinab",Apartments,3,1,125 ,7,1990,Super lux,Main Street,"950,000"
"Port Said St., El Sayyeda Zeinab",Apartments,2,1,120 ,7,1990,Lux,Side Street,"870,000"
"Port Said St., El Sayyeda Zeinab",Apartments,3,1,120 ,1,2010,Super lux,Main Street,"810,000"
"Al Sad Al Barani, El Sayyeda Zeinab",Apartments,3,1,60 ,3,2021,Super lux,Main Street,"750,000"
"Al Sad Al Barani, El Sayyeda Zeinab",Apartments,3,2,160 ,7,2004,Super lux,Main Street,"1,100,000"
شارع بورسعيد امام مدرسة الخيدوية,Apartments,3,2,120 ,11,Super lux,Main Street,,"1,400,000"
"El Sayeda Zainab Square, El Sayyeda Zeinab",Apartments,3,2,110  ,5,1975,Semi Finished,Main Street,"600,000"
"El Sayeda Zainab Square, El Sayyeda Zeinab",Building,,,120 ,1960,Lux,Main Street,,"8,000,000"
"Al Nawawi St., El Sayyeda Zeinab",House / Home,3,1,125 ,2030,Semi Finished,Corner,,"2,250,000"
"Bahgat St., El Sayyeda Zeinab",Apartments,2,1,95 ,2,1992,Super lux,Corner,"650,000"
"Al Sad Al Barani, El Sayyeda Zeinab",Apartments,4,2,168 ,10,Extra super lux,Main Street,,"1,400,000"
"Port Said St., El Sayyeda Zeinab",Apartments,3,1,70 ,3,1960,Lux,Main Street,"600,000"
"Sidi Zeinhom St., El Sayyeda Zeinab",Building,,,148 ,1993,Super lux,Side Street,,"3,500,000"
مطعم الامام,Duplex,3,3,260 ,11,2005,Super lux,Main Street,"1,600,000"
"Al Sad Al Barani, El Sayyeda Zeinab",Apartments,4,2,168 ,10,Extra super lux,Main Street,,"1,350,000"
"Al Sad Al Barani, El Sayyeda Zeinab",Apartments,2,2,165 ,6,2013,Super lux,Main Street,"1,500,000"
