address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"El Gazaer, New Maadi",Commercial Land,,,555 ,Main Street,,,,"50,000"
"El Lasilki, New Maadi",Apartments,4,2,170 ,Ground,2021,Super lux,Side Street,"1,700,000"
"Masaken El Arayes, New Maadi",Apartments,2,1,69 ,3,2021,Super lux,Side Street,"370,000"
"El Lasilki, New Maadi",Duplex,4,3,360 ,5,2008,Super lux,Other,"3,300,000"
"El Nasr St, New Maadi",Stores,,,65 ,Super lux,Main Street,,,"7,000,000"
"El Nasr St, New Maadi",Grave,,,21 ,Main Street,,,,"75,000"
"El Arab, New Maadi",House / Home,1,1,100 ,2021,Super lux,Side Street,,"1,400,000"
مبروك شبل تقسيم اللاسلكى المعادى الجديده,Apartments,3,2,180 ,6,2005,Super lux,Garden,"1,300,000"
"El Nasr St, New Maadi",Apartments,4,2,150 ,10,2021,Semi Finished,Side Street,"850,000"
"El-Mohandes Shawqi Abd El-Moneim St., New Maadi",Apartments,3,2,200 ,6,2013,Super lux,Main Street,"1,700,000"
"El Lasilki, New Maadi",Apartments,3,3,260  ,Ground,2021,Extra super lux,Side Street,"1,250,000"
"Etisalat Club Rd, New Maadi",Separate Villa,6,5,530 ,2030,Super lux,Corner,,"6,360,000"
"Reasa Al Hay St., New Maadi",Apartments,3,1,90 ,4,2000,Super lux,Main Street,"600,000"
"El Lasilki, New Maadi",Apartments,2,2,130 ,2,2015,Super lux,Main Street,"1,200,000"
"Al Gazaer St., New Maadi",Apartments,2,2,126 ,3,1992,Super lux,Main Street,"1,100,000"
"Street 263, New Maadi",Apartments,3,2,175 ,6,2014,Super lux,Side Street,"1,750,000"
"El Nasr St, New Maadi",Apartments,3,2,200 ,5,2012,Super lux,Main Street,"1,750,000"
"El Lasilki, New Maadi",Apartments,3,2,180 ,4,2012,Super lux,Main Street,"2,000,000"
"El Lasilki, New Maadi",Apartments,3,2,195 ,7,2010,Super lux,Side Street,"1,650,000"
"El Lasilki, New Maadi",Apartments,3,2,195 ,7,2010,Super lux,Side Street,"1,750,000"
"Street 266, New Maadi",Apartments,3,3,200 ,3,2020,Super lux,Main Street,"2,500,000"
المعادي الجديدة/مساكن نيركو,Apartments,2,1,127 ,2000,Super lux,,,"1,300,000"
"Palestine Rd, New Maadi",Apartments,3,1,130 ,3,2013,Super lux,Side Street,"1,300,000"
"El Gazaer, New Maadi",Apartments,3,2,135 ,6,1985,Super lux,Side Street,"960,000"
"El Lasilki, New Maadi",Apartments,3,2,300 ,Ground,Super lux,Main Street,,"2,500,000"
"El Lasilki, New Maadi",Apartments,3,3,160 ,1,2005,Super lux,Other,"1,500,000"
"El Lasilki, New Maadi",Duplex,3,3,350 ,1,2005,Super lux,Corner,"3,150,000"
"El Gazaer, New Maadi",Apartments,3,2,130 ,2,Super lux,Garden,,"920,000"
شارع النصر بالمعادى الجديده,Storage,,,750 ,,,,,"4,000,000"
"Street 503, New Maadi",Apartments,2,1,90 ,7,1999,Super lux,Main Street,"480,000"
"El Arab, New Maadi",Apartments,2,1,105 ,11,1998,Super lux,Side Street,"280,000"
المعادي الجديدة/اللاسلكي,Apartments,2,1,100 ,4,2000,Super lux,Main Street,"1,350,000"
Elnast street - new maadi,Stores,,,60 ,Super lux,Main Street,,,"3,000,000"
"Street 270, New Maadi",Apartments,3,2,160 ,2,2021,Super lux,Main Street,"1,750,000"
المعادي الجديدة/شارع الجزائر,Apartments,2,2,120 ,1,2000,Super lux,Main Street,"913,000"
"Al Gazaer St., New Maadi",Storage,,,300 ,super_lux,Side Street,,,"1,400,000"
"El Nasr St, New Maadi",Apartments,2,2,155 ,5,2005,Extra super lux,Main Street,"1,700,000"
"El Lasilki, New Maadi",Apartments,3,2,165 ,5,2003,Super lux,Main Street,"1,500,000"
"El Gazaer, New Maadi",Administrative Building,,,3500 ,2020,Super lux,,,"45,000,000"
"Street 286, New Maadi",Villas,6,6,550 ,2030,Super lux,Main Street,,"12,000,000"
"El Arab, New Maadi",Apartments,2,1,90 ,4,2021,Semi Finished,Side Street,"230,000"
"Street 270, New Maadi",Apartments,3,2,170 ,1,2021,Super lux,Main Street,"1,100,000"
"Street 262, New Maadi",Apartments,3,2, 180 ,7,2000,Lux,Main Street,"1,700,000"
المعادي الجديدة/شارع 288,Duplex,3,3,270 ,1,2010,Super lux,Main Street,"3,050,000"
"El Nasr St, New Maadi",Apartments,2,2,150 ,1,2021,Super lux,Side Street,"1,200,000"
"El Arab, New Maadi",Apartments,1,1,120 ,4,Super lux,,,"400,000"
حياة دجلة المعادى نركو الشطر الخامس -خلف نادى الإتصالات من الاوتوستراد,Apartments,3,3, 210 ,2,2018,Super lux,Main Street,"1,550,000"
"Street 500, New Maadi",Apartments,3,2,111 ,6,2000,Extra super lux,Side Street,"850,000"
بجوار مستشفي اندلسيه,Duplex,4,4,500 ,7,2005,Super lux,Main Street,"2,750,000"
"El Nasr St, New Maadi",Apartments,3,1,90 ,6,Lux,,,"600,000"
"El Nasr St, New Maadi بجوار جابكو شارع ٢٩٨",Apartments,2,2,126 ,1,1997,Super lux,Side Street,"1,150,000"
"El-Horeya St., New Maadi",Apartments,2,2,125 ,4,1984,Super lux,,"1,150,000"
"El Lasilki, New Maadi",Apartments,3,1,135 ,1,2006,Super lux,Main Street,"1,250,000"
"El Lasilki, New Maadi",Apartments,3,2,165 ,4,2012,Super lux,Main Street,"1,350,000"
"16 Road 258, New Maadi, Cairo",Villas,3,5,253 ,2030,Super lux,Side Street,,"10,000,000"
"El Lasilki, New Maadi",Administrative Building,50,8,987 ,2016,Extra super lux,Main Street,,"13,000,000"
شارع المستشار حسين حمودة تقسيم الاسيلكي بجوار المعونه الامريكيه,Apartments,3,3,200 ,6,2014,Semi Finished,Main Street,"1,500,000"
"El Gazaer, New Maadi",Apartments,3,2,135 ,6,1985,Super lux,Side Street,"960,000"
"Al Saudeya St., New Maadi",Apartments,3,1,140 ,5,2019,Super lux,Side Street,"850,000"
شارع نيركو الرئيسى,Stores,,,165 ,Main Street,,,,"5,500,000"
"Al Nadi Al Gadid St., New Maadi",Apartments,2,2,105 ,4,2030,Super lux,Side Street,"550,000"
"El Nasr St, New Maadi",Apartments,2,1,70 ,2,1990,Super lux,Side Street,"460,000"
"El Lasilki, New Maadi",Apartments,2,1,120 ,2,2000,Super lux,Main Street,"1,000,000"
"El Lasilki, New Maadi",Apartments,2,1,110 ,8,2030,Super lux,Back,"650,000"
بجوار كمبوند چابكو,Apartments,3,2,170 ,9,2012,Super lux,Main Street,"1,200,000"
"El Gazaer, New Maadi",Restaurant,4,2,200 ,1,1995,Super lux,Corner,"3,000,000"
شارع منصور اللاسلكى المعادى,Apartments,3,2,175 ,Ground,2010,Super lux,Side Street,"1,300,000"
العرب، المعادي الجديدة,Apartments ,3,1,100 ,1,2004,Lux,Side Street,"360,000"
المعادي الجديدة/شارع العروبة,Apartments,3,2,170 ,3,1995,Super lux,Corner,"1,250,000"
"El Nasr St, New Maadi",Apartments,2,1,70 ,2,1990,Super lux,Main Street,"450,000"
"Other Neighborhoods In El Maadi, El Maadi",Apartments,2,1,85 ,2,1990,Super lux,Side Street,"320,000"
"El Gazaer, New Maadi",Apartments,2,2,150 ,3,1998,Super lux,Garden,"1,200,000"
"El Orouba St., New Maadi",Apartments,3,1,140 ,1,1980,Super lux,Main Street,"1,100,000"
"El Gazaer, New Maadi",Apartments,2,2,126 ,3,1993,Super lux,Side Street,"1,100,000"
عمارات نيركو بالشطر الخامس بالمعادى,Apartments,3,2,187 ,3,2020,Lux,Garden,"1,500,000"
شارع 277,House / Home,8,4,540 ,1980,Super lux,Garden,,"13,000,000"
محكمة عرب المعادي القاهرة,Apartments,3,1,150 ,6,2008,Super lux,Side Street,"360,000"
محل كود (HK67) للبيع في - لمعادي الجديدة - ١٢ ش شريف سلامة( محل رقم ٢)-مشروع ال١٦ عمارة(بجوار نادي الاتصالات و القرية التكنولوجية و الاوتوستراد)-تقسيم اللاسلكي-المعادي الجديدة...!,Stores,,,36 ,Main Street,,,,"3,360,000"
"Street 254, Degla",Apartments,2,2,116  ,2,2021,Semi Finished,Main Street,"1,500,000"
"Street 500, New Maadi",Apartments,3,2,135 ,5,2009,Super lux,Garden,"900,000"
"El-Mokhtar St., New Maadi",Duplex,4,2,175 ,5,2021,Semi Finished,Garden,"1,700,000"
"El Nadi El Gadid St, New Maadi",Apartment with Garden,3,2,300 ,1,2006,Super lux,Side Street,"3,000,000"
"Masaken El Arayes, New Maadi",Apartments,2,1,77 ,4,2000,Super lux,Side Street,"500,000"
"El Lasilki, New Maadi",Apartments,3,2,180 ,4,2018,Super lux,Other,"2,000,000"
"El Lasilki, New Maadi",Apartments,3,2,165 ,1,2020,Semi Finished,Main Street,"1,800,000"
21 ش 291 المعادي الجديدة,Duplex,8,2,285 ,1,1997,Lux,Side Street,"2,800,000"
"El Arab, New Maadi",Apartments,3,2,154 ,12,2021,Super lux,Side Street,"700,000"
"Emtedad Palestine St, New Maadi",Land,,,430 ,Main Street,,,,"17,000,000"
"El Lasilki, New Maadi",Apartments,4,3,350 ,9,2019,Super lux,Main Street,"1,800,000"
عمارة البرج المستديرة - من ميدان الجزائر,Apartments,2,1,135 ,6,2030,Super lux,Side Street,"1,000,000"
"El-Horeya St., New Maadi",Apartments,3,1,135 ,1,2021,Lux,Side Street,"550,000"
"Street 298, New Maadi",Apartments,2,2,150 ,6,2000,Extra super lux,Side Street,"800,000"
المعادي,Administrative Building,,,900 ,2030,Super lux,Garden,,"10,000,000"
"El Lasilki, New Maadi",Apartments,3,2,165 ,1,2020,Semi Finished,Main Street,"1,800,000"
"Street 263, New Maadi",Apartments,3,2,175 ,6,2021,Super lux,Main Street,"1,750,000"
"Street 300, New Maadi",Corporate Branch,8,3,335 ,Ground,2000,Super lux,Corner,"1,980,000"
دجله المعادى,Apartments,3,2,160 ,4,1990,Super lux,Garden,"1,700,000"
"El Gazaer, New Maadi",Apartments,,,190 ,2008,Super lux,Main Street,,"1,650,000"
"Palestine Rd, New Maadi",Apartments,3,2,230 ,9,2030,Super lux,Other,"1,700,000"
شارع اللاسلكى المعادى الجديدة,Apartments,3,2,230 ,1,2030,Super lux,Main Street,"1,850,000"
"El Nasr St, New Maadi",Apartments,2,2,70 ,1,2000,Semi Finished,Side Street,"900,000"
"El Lasilki, New Maadi",Apartments,3,2,180 ,4,2021,Extra super lux,Side Street,"2,000,000"
المعادي الجديدة/شارع النصر,Building,,,170 ,2010,Super lux,,,"10,000,000"
"El Lasilki, New Maadi",Administrative Building,100,30,3000 ,9,2010,Super lux,Main Street,"100,000,000"
"El Lasilki, New Maadi",Apartments,3,2,200 ,6,2021,Super lux,Side Street,"1,200,000"
"El Lasilki, New Maadi",Administrative Building,,,3000 ,2010,Super lux,Main Street,,"100,000,000"
المعادي/المعادي القديمة,Apartments,3,2,210 ,2,2000,Super lux,,"2,300,000"
"El Nasr St, New Maadi",Full Floor Administrative,10,2,440 ,6,2016,Semi Finished,,"4,250,000"
"Street 263, New Maadi",Apartments,3,2,200 ,4,1991,Super lux,Side Street,"2,300,000"
