address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
New Heliopolis,Apartments,3,3,211 ,1,2020,Semi Finished,Garden,"3,637,000"
عمارات العبور صلاح سالم,Apartments,3,1,160 ,3,1989,Super lux,,"1,430,000"
"Street 16, Sheraton",Apartments,2,2,149 ,1,2021,Super lux,Garden,"1,300,000"
"Qibaa City, Gisr El Swis",Apartments,3,2,140 ,4,2002,Super lux,Corner,"950,000"
"New Nozha, New Nozha",Apartments,2,1,85 ,6,Super lux,Other,,"300,000"
"Joseph Tito St., New Nozha",Grave,,,21 ,Main Street,,,,"120,000"
"Main Street, Gisr El Swis",Clinics,1,1,60 ,1,2020,Super lux,Main Street,"3,500"
"Main Street, Gisr El Swis",Apartments,3,1,130 ,6,2020,Super lux,,"40,000"
عمارات العبور صلاح سالم - مصر الجديدة - القاهرة,Apartments,3,2,160 ,14,Extra super lux,Garden,,"1,425,000"
"Tegaryen City, Gisr El Swis",Apartments,3,1,130 ,9,2020,Super lux,Main Street,"600,000"
شارع الحجاز، ميدان الحجاز,Apartments,3,3,220 ,7,2012,Extra super lux,Side Street,"2,200,000"
"Main Street, Gisr El Swis",Apartments,3,1,165 ,2,2020,Super lux,Main Street,850
"Go Heliopolis Compound - Khuzam Developments, Compounds in Heliopolis",Apartments,3,2,155 ,Ground,2021,Semi Finished,Garden,"2,340,000"
"Main Street, Gisr El Swis",Apartments,2,1,90 ,2,2020,Super lux,Main Street,"360,000"
"El Merghany St, Ard El Golf",Apartments,3,3,250 ,8,2017,Semi Finished,Side Street,"4,000,000"
عمارات العبور صلاح سالم - مصر الجديدة - القاهرة,Apartments,2,2,140 ,28,Super lux,Main Street,,"1,100,000"
"Joseph Tito St., New Nozha",Grave,,,120 ,Main Street,,,,"120,000"
"Go Heliopolis Compound - Khuzam Developments, Compounds in Heliopolis",Apartments,2,2,125 ,Ground,2021,Semi Finished,Garden,"1,730,000"
"Al Sheikh Abou Al Nour St., Mnsheet El Bakry",Apartments,2,1,95 ,4,Lux,,,"850,000"
"High City, El Orouba",Apartments,3,3,300 ,10,2007,Super lux,Main Street,"8,000,000"
"Housny Mobarak St., Sheraton",Apartments,3,2,140 ,3,1991,Lux,Side Street,"1,300,000"
"Roxy Square, Heliopolis - Masr El Gedida",Apartments,5,3,345 ,6,2017,Super lux,,"3,700,000"
"Almaza, Almaza",Apartments,4,3,330 ,8,2010,Super lux,Main Street,"4,400,000"
كمبوند التسع عمارات خلف عمارات العبور صلاح سالم مصر الجديدة,Apartments,3,2,150 ,12,1991,Super lux,Garden,"1,500,000"
"Obour Buildings, Heliopolis - Masr El Gedida",Apartments,3,2,190 ,12,1993,Super lux,Main Street,"1,600,000"
عمارات خلف العبور صلاح سالم,Apartments,2,1,120 ,12,1990,Super lux,,"950,000"
"Morabaa El Wozaraa, Masakn Sheraton",Apartments,3,3,220 ,1,Super lux,Main Street,,"2,750,000"
"Main Street, Gisr El Swis",Apartments,3,2,200 ,9,2020,Super lux,Main Street,"685,000"
Heliopolis,Apartments,3,3,192 ,Ground,2020,Semi Finished,Main Street,"4,416,000"
Heliopolis,Apartments,3,3,169 ,Ground,2020,Semi Finished,Main Street,"3,956,000"
Heliopolis,Apartments,2,2,127 ,Ground,2020,Semi Finished,Main Street,"2,096,000"
"Obour Buildings, Heliopolis - Masr El Gedida",Apartments,2,2,145 ,8,1990,Super lux,Main Street,"950,000"
"El Nozha Street, Heliopolis - Masr El Gedida",Furnished Apartment,3,2,200 ,6,2007,Extra super lux,Side Street,"3,500,000"
Heliopolis,Apartments,3,3,193 ,Ground,2020,Without Finish,Main Street,"4,439,000"
"Main Street, Gisr El Swis",Apartments,3,2,130 ,1,2020,Super lux,Main Street,"320,000"
"Main Street, Gisr El Swis",Apartments,3,1,135 ,2,2020,Super lux,Main Street,"360,000"
"New Nozha, New Nozha",Apartments,4,2,300 ,9,2020,Super lux,Main Street,"4,500,000"
"New Nozha, New Nozha",Stores,,,49 ,Super lux,Main Street,,,"980,000"
"Main Street, Gisr El Swis",Apartments,3,2,200 ,5,2020,Super lux,Main Street,"1,400,000"
"Main Street, Gisr El Swis",Apartments,4,2,168 ,4,2020,Super lux,Main Street,"1,100,000"
"Main Street, Gisr El Swis",Apartments,3,1,70 ,1,2020,Super lux,Main Street,"390,000"
Heliopolis,Apartments,3,3,178 ,Ground,2020,Semi Finished,Main Street,"4,166,000"
"El Merghany St, Ard El Golf",Apartments,3,3,250 ,8,2017,Semi Finished,Side Street,"4,000,000"
"Obour Buildings, Heliopolis - Masr El Gedida",Apartments,3,1,130 ,1,1980,Super lux,Side Street,"1,600,000"
"Main Street, Gisr El Swis",Apartments,3,2,105 ,4,2020,Semi Finished,Main Street,"200,000"
"Saharig AL Miaah St., Merryland",House / Home,4,4,350 ,1960,Lux,Side Street,,"8,000,000"
"El Khalifa EL Mahmoun, Heliopolis - Masr El Gedida",Apartments,3,2,205 ,8,Super lux,,,"2,250,000"
1 Doctor Youssef Mourad,Building,,,782 ,1965,Lux,Corner,,"36,000,000"
Heliopolis,Apartments,3,3,130 ,Ground,2020,Extra super lux,Main Street,"2,730,000"
"Main Street, Gisr El Swis",Apartments,3,1,135 ,5,2020,Super lux,,"400,000"
شارع النزهة، مصر الجديدة,Apartments,3,2,148 ,5,2021,Lux,Corner,"1,650,000"
Heliopolis,Apartments,3,3,255 ,Ground,2020,Semi Finished,Main Street,"5,662,000"
صلاح سالم مصر الجديدة - كمبوند التسع عمارات,Apartments,3,2,200 ,10,1990,Super lux,,"2,200,000"
"El Nozha Street, Heliopolis - Masr El Gedida",Apartments,3,2,155 ,8,2023,Semi Finished,Main Street,"2,300,000"
"El Nozha Street, Heliopolis - Masr El Gedida",Apartments,2,2,125 ,6,2023,Semi Finished,Main Street,"1,700,000"
"Main Street, Gisr El Swis",Apartments,3,1,125 ,2,2020,Super lux,Main Street,"350,000"
"Obour Buildings, Heliopolis - Masr El Gedida",Apartments,2,2,145 ,12,1991,Super lux,Main Street,"1,250,000"
"El Nozha Street, Heliopolis - Masr El Gedida",Studio,1,1,70 ,7,2023,Semi Finished,Side Street,"1,050,000"
"El Nozha Street, Heliopolis - Masr El Gedida",Apartments,3,2,175 ,6,1990,Lux,Main Street,"1,350,000"
"Main Street, Gisr El Swis",Apartments,3,1,165 ,2,2020,Super lux,Main Street,"850,000"
"Main Street, Gisr El Swis",Apartments,2,2,100 ,4,2020,Semi Finished,Main Street,"200,000"
"Manshyat Elsad Elaly, Gisr El Swis",Apartments,3,1,140 ,7,2008,Super lux,Main Street,"350,000"
"Qibaa City, Gisr El Swis",Apartments,2,1,90 ,9,2020,Super lux,Main Street,"230,000"
عمارات خلف العبور صلاح سالم,Apartments,2,1,120 ,6,1990,Super lux,,"1,000,000"
