address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Helwan, Helwan",Apartments,3,1,100 ,4,Extra super lux,,,"650,000"
"Helwan, Helwan",Apartments,2,1,100 ,4,2014,Super lux,Side Street,"390,000"
"Helwan, Helwan",Apartments,2,1,70 ,4,2013,Super lux,Side Street,"200,000"
"Helwan, Helwan",Apartments,3,1,100 ,5,2016,Super lux,Main Street,"2,500,000"
"Helwan, Helwan",House / Home,2,1,85 ,2012,Super lux,Main Street,,"900,000"
"Helwan, Helwan",Apartments,3,2,165 ,4,2014,Super lux,Main Street,"900,000"
"Helwan, Helwan",Apartments,4,1,90 ,Ground,2008,Super lux,Main Street,"370,000"
"Helwan, Helwan",House / Home,3,1,95 ,2020,Super lux,Main Street,,"550,000"
"Helwan, Helwan",Apartments,3,1,100 ,3,2016,Super lux,Main Street,"500,000"
"Helwan, Helwan",Apartments,2,1,145 ,9,2017,Super lux,Main Street,"800,000"
"Helwan, Helwan",Apartments,2,1,95 ,12,2018,Super lux,Main Street,"210,000"
"Helwan, Helwan",Apartments,3,2,145 ,10,2018,Super lux,Main Street,"550,000"
"Helwan, Helwan",Apartments,3,2,165 ,9,2015,Super lux,Side Street,"1,100,000"
"Helwan, Helwan",Apartments,2,1,94 ,3,2017,Super lux,Main Street,"400,000"
"Helwan, Helwan",Apartments,2,1,67 ,4,2008,Super lux,Side Street,"140,000"
"Helwan, Helwan",Apartments,3,2,135 ,10,2012,Semi Finished,Corner,"700,000"
"Helwan, Helwan",Apartments,4,2,224 ,8,2011,Super lux,Garden,"1,650,000"
"Helwan, Helwan",House / Home,2,1,71 ,2012,Lux,Main Street,,"950,000"
"Helwan, Helwan",Apartments,3,1,80 ,2,2021,Lux,Side Street,"170,000"
"Helwan, Helwan",Apartments,3,3,185 ,4,2021,Super lux,Side Street,"1,000,000"
"Helwan, Helwan",Apartments,3,2,181 ,10,2021,Semi Finished,Side Street,"880,000"
"Helwan, Helwan",Apartments,3,1,140 ,3,2008,Super lux,Main Street,"750,000"
"Helwan, Helwan",Villas,3,2,300 ,Super lux,,,,"3,000,000"
"Helwan, Helwan",Apartments,3,1,160 ,10,2016,Super lux,Main Street,"550,000"
"Helwan, Helwan",Apartments,3,1,130 ,3,2000,Super lux,Main Street,"510,000"
"Helwan, Helwan",Apartments,2,1,100 ,4,Super lux,,,"370,000"
"Helwan, Helwan",Apartments,3,1,125 ,3,2017,Super lux,Side Street,"380,000"
"Helwan, Helwan",Apartments,3,1,125 ,5,2009,Super lux,Main Street,"500,000"
"Helwan, Helwan",Apartments,2,1,57 ,3,2030,Lux,Side Street,"150,000"
"Helwan, Helwan",Apartments,2,1,72 ,3,2012,Lux,Side Street,"200,000"
"Helwan, Helwan",Apartments,3,1,120 ,8,2016,Super lux,Main Street,"580,000"
"Helwan, Helwan",Apartments,3,2,180 ,4,2015,Super lux,Side Street,"648,000"
"Helwan, Helwan",Apartments,2,1,75 ,5,2021,Super lux,Main Street,"188,000"
"Helwan, Helwan",Apartments,3,2,210 ,8,2000,Super lux,Main Street,"1,239,000"
"Helwan, Helwan",Apartments,3,1,100 ,11,2018,Super lux,Main Street,"380,000"
"Helwan, Helwan",Apartments,3,1,125 ,7,2016,Super lux,Main Street,"550,000"
"Helwan, Helwan",Apartments,2,1,80 ,5,2012,Super lux,Main Street,"290,000"
"Helwan, Helwan",Apartments,2,1,100 ,4,2014,Super lux,Side Street,"450,000"
"Helwan, Helwan",Apartments,3,1,110 ,4,2017,Super lux,Main Street,"620,000"
"Helwan, Helwan",Apartments,2,1,74 ,1,2015,Super lux,Side Street,"175,000"
"Helwan, Helwan",Stores,,,28 ,Lux,Main Street,,,"800,000"
"Helwan, Helwan",Apartments,3,3,244 ,7,2016,Super lux,Main Street,"2,250,000"
"Helwan, Helwan",Apartments,2,1,130 ,6,2015,Super lux,Side Street,"650,000"
"Helwan, Helwan",Apartments,3,1,120 ,3,2017,Super lux,Main Street,"450,000"
"Helwan, Helwan",Apartments,3,1,100 ,2,2015,Super lux,Main Street,"180,000"
"Helwan, Helwan",Apartments,2,1,86 ,1,2014,Super lux,Side Street,"430,000"
"Helwan, Helwan",Apartments,2,1,67 ,3,2015,Super lux,Side Street,"320,000"
"Helwan, Helwan",Apartments,2,1,56 ,4,2009,Super lux,Side Street,"120,000"
"Helwan, Helwan",Apartments,2,1,75 ,2,2015,Super lux,Side Street,"280,000"
"Helwan, Helwan",Apartments,2,1,68 ,4,2015,Super lux,Side Street,"270,000"
"Helwan, Helwan",Apartments,4,1,90 ,2,2012,Super lux,Side Street,"600,000"
"Helwan, Helwan",Apartments,3,1,120 ,3,2012,Super lux,Main Street,"295,000"
"Helwan, Helwan",Apartments,2,1,95 ,1,2012,Super lux,Side Street,"400,000"
"Helwan, Helwan",Apartments,4,1,140 ,4,2014,Super lux,Side Street,"320,000"
"Helwan, Helwan",Apartments,4,2,150 ,2,2014,Super lux,Side Street,"300,000"
"Helwan, Helwan",Apartments,2,1,100 ,Ground,2014,Super lux,Main Street,"375,000"
"Helwan, Helwan",Apartments,2,1,56 ,Ground,2013,Super lux,Side Street,"150,000"
"Helwan, Helwan",House / Home,2,1,90 ,2014,Super lux,Main Street,,"550,000"
"Helwan, Helwan",Apartments,3,1,120 ,5,2011,Super lux,Main Street,"800,000"
"Helwan, Helwan",Apartments,2,1,96 ,4,2009,Super lux,Main Street,"450,000"
"Helwan, Helwan",Apartments,4,5,100 ,1,2012,Super lux,Main Street,"340,000"
"Helwan, Helwan",House / Home,2,1,84 ,2012,Lux,Main Street,,"1,050,000"
"Helwan, Helwan",Apartments,3,2,210 ,8,2018,Super lux,Main Street,"1,239,000"
"Helwan, Helwan",Apartments,2,1,100 ,3,2014,Super lux,Side Street,"380,000"
"Helwan, Helwan",Apartments,4,2,130 ,5,2008,Super lux,Main Street,"350,000"
"Helwan, Helwan",Apartments,2,1,130 ,10,2017,Super lux,Side Street,"300,000"
"Helwan, Helwan",Apartments,2,1,67 ,Ground,2008,Lux,Side Street,"120,000"
"Helwan, Helwan",Apartments,2,1,56 ,1,2012,Lux,Side Street,"115,000"
"Helwan, Helwan",Apartments,2,1,100 ,8,2016,Super lux,Main Street,"600,000"
"Helwan, Helwan",Apartments,3,1,150 ,4,2015,Super lux,Main Street,"510,000"
"Helwan, Helwan",Apartments,3,2,190 ,3,2016,Super lux,Main Street,"1,250,000"
"Helwan, Helwan",Apartments,3,2,240 ,7,2020,Semi Finished,Nile,"850,000"
"Helwan, Helwan",Apartments,2,1,80 ,5,2009,Super lux,Side Street,"260,000"
"Helwan, Helwan",Apartments,3,1,130 ,4,2017,Super lux,Main Street,"650,000"
"Helwan, Helwan",Apartments,2,1,56 ,2,2009,Lux,Side Street,"120,000"
"Helwan, Helwan",Apartments,3,1,80 ,4,2013,Super lux,Side Street,"370,000"
"Helwan, Helwan",Apartments,2,1,70 ,6,2014,Lux,Side Street,"175,000"
"Helwan, Helwan",Apartments,3,1,140 ,3,2020,Semi Finished,Main Street,"370,000"
"Helwan, Helwan",Apartments,2,1,120 ,4,2017,Super lux,Side Street,"600,000"
"Helwan, Helwan",Apartments,3,2,160 ,7,2014,Super lux,Main Street,"875,000"
"Helwan, Helwan",Apartments,2,1,100 ,1,2020,Without Finish,Main Street,"380,000"
"Helwan, Helwan",Apartments,2,1,75 ,5,2016,Super lux,Main Street,"400,000"
"Helwan, Helwan",Apartments,2,1,110 ,1,2014,Lux,Side Street,"300,000"
"Helwan, Helwan",Apartments,3,3,205 ,3,2018,Super lux,Main Street,"1,400,000"
"Helwan, Helwan",Apartments,2,1,135 ,1,2017,Super lux,Side Street,"650,000"
"Helwan, Helwan",Apartments,2,1,165 ,5,2016,Super lux,Main Street,"590,000"
"Helwan, Helwan",Offices,3,1,195 ,6,Super lux,Main Street,,"1,330,000"
"Helwan, Helwan",Apartments,3,1,100 ,5,2010,Lux,Side Street,"260,000"
"Helwan, Helwan",Apartments,2,1,120 ,10,2016,Super lux,Main Street,"380,000"
31 saleh sobhy st helwan,Apartments,4,2,200 ,3,2010,Super lux,Main Street,"1,200,000"
"Helwan, Helwan",Apartments,3,1,110 ,4,2013,Super lux,Side Street,"550,000"
"Helwan, Helwan",Apartments,3,1,156 ,5,2017,Super lux,Main Street,"720,000"
"Helwan, Helwan",Apartments,3,1,90 ,6,2015,Super lux,Main Street,"170,000"
"Helwan, Helwan",Apartments,3,1,179 ,5,2014,Super lux,Side Street,"650,000"
"Helwan, Helwan",Apartments,3,1,96 ,5,2013,Super lux,Side Street,"240,000"
"Helwan, Helwan",Apartments,3,2,210 ,4,2012,Semi Finished,Main Street,"900,000"
"Helwan, Helwan",Apartments,2,10,165 ,2,2018,Extra super lux,Main Street,"750,000"
"Helwan, Helwan",Apartments,2,1,85 ,3,2012,Super lux,Main Street,"350,000"
"Helwan, Helwan",Apartments,3,2,200 ,4,2018,Super lux,Main Street,"1,400,000"
"Helwan, Helwan",Apartments,2,1,125 ,Ground,2009,Lux,Side Street,"600,000"
"Helwan, Helwan",Stores,,,60 ,Lux,Side Street,,,"1,500,000"
"Helwan, Helwan",Apartments,3,1,135 ,7,2011,Super lux,Main Street,"950,000"
"Helwan, Helwan",Apartments,4,2,235 ,7,2014,Super lux,Main Street,"1,200,000"
"Helwan, Helwan",Apartments,3,1,110 ,5,2009,Super lux,Side Street,"390,000"
"Helwan, Helwan",Apartments,2,1,70 ,5,2014,Super lux,Side Street,"310,000"
"Helwan, Helwan",Apartments,3,3,185 ,4,2020,Super lux,Main Street,"1,100,000"
"Helwan, Helwan",Apartments,2,1,85 ,4,2008,Super lux,Side Street,"300,000"
"Helwan, Helwan",Apartments,4,1,202 ,4,2008,Super lux,Garden,"600,000"
"Helwan, Helwan",Roof,1,1,180 ,10,2016,Lux,Main Street,"550,000"
"Helwan, Helwan",Apartments,4,2,200 ,3,2014,Super lux,Main Street,"1,200,000"
"Helwan, Helwan",Apartments,2,1,105 ,5,2009,Super lux,Main Street,"450,000"
"Helwan, Helwan",Apartments,2,1,70 ,5,2009,Lux,Side Street,"150,000"
"Helwan, Helwan",Apartments,2,3,185 ,3,2021,Super lux,Side Street,"1,100,000"
"Helwan, Helwan",Apartments,2,1,67 ,4,2021,Lux,Side Street,"150,000"
"Helwan, Helwan",Apartments,3,1,135 ,9,2021,Super lux,Side Street,"850,000"
"Helwan, Helwan",Apartments,2,1,130 ,Ground,2009,Super lux,Main Street,"675,000"
"Helwan, Helwan",Apartments,2,2,140 ,2,2021,Super lux,Main Street,"850,000"
"Helwan, Helwan",Apartments,3,1,100 ,2,2021,Semi Finished,Side Street,"500,000"
"Helwan, Helwan",Apartments,3,1,140 ,7,2021,Super lux,Corner,"850,000"
"Helwan, Helwan",Apartments,2,1,90 ,5,2017,Lux,Main Street,"350,000"
"Helwan, Helwan",Apartments,3,1,100 ,4,2021,Super lux,Side Street,"230,000"
"Helwan, Helwan",Apartments,3,1,67 ,5,2021,Lux,Side Street,"180,000"
"Helwan, Helwan",Apartments,2,1,110 ,5,2021,Super lux,Side Street,"450,000"
"Helwan, Helwan",Apartments,3,1,100 ,9,2021,Semi Finished,Side Street,"400,000"
"Helwan, Helwan",Apartments,3,2,205 ,8,2021,Super lux,Side Street,"1,300,000"
"Helwan, Helwan",Stores,,,175 ,Super lux,Main Street,,,"4,000,000"
"Helwan, Helwan",Apartments,3,1,150 ,4,2021,Super lux,Side Street,"500,000"
"Helwan, Helwan",Apartments,3,2,250 ,10,2021,Super lux,Main Street,"520,000"
"Helwan, Helwan",Apartments,3,1,100 ,1,2021,Super lux,Side Street,"620,000"
"Helwan, Helwan",Apartments,2,1,80 ,2,2021,Lux,Side Street,"270,000"
"Helwan, Helwan",Apartments,2,1,115 ,4,2021,Lux,Side Street,"450,000"
"Helwan, Helwan",Apartments,2,1,80 ,3,2021,Super lux,Side Street,"325,000"
"Helwan, Helwan",Apartments,2,1,67 ,6,2030,Super lux,Side Street,"350,000"
"Helwan, Helwan",Apartments,3,2,160 ,5,2021,Super lux,Side Street,"900,000"
"Helwan, Helwan",Apartments,3,1,80 ,2,2021,Lux,Side Street,"300,000"
الكريمات,Land,,,21000 ,Other,,,,"600,000"
"Helwan, Helwan",Apartments,2,1,100 ,4,2021,Super lux,Side Street,"370,000"
