address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Nile Corniche, Helwan",House / Home,,,130 ,,,,,"850,000"
"Nile Corniche, Helwan",Apartments,3,2,180 ,8,2018,Without Finish,Nile,"650,000"
"Nile Corniche, Helwan",House / Home,,,130 ,2016,Without Finish,Side Street,,"600,000"
"Nile Corniche, Helwan",Apartments,3,1,125 ,6,2019,Without Finish,Main Street,"370,000"
"Nile Corniche, Helwan",House / Home,3,1,204 ,2016,Super lux,Side Street,,"2,000,000"
"Nile Corniche, Helwan",Apartments,3,1,150 ,Ground,Without Finish,,,"190,000"
"Nile Corniche, Helwan",Apartments,5,2,200 ,1,2016,Super lux,Main Street,"970,000"
"Nile Corniche, Helwan",Apartments,3,1,145 ,4,Super lux,,,"1,600,000"
"Nile Corniche, Helwan",Apartments,3,2,260 ,10,2006,Semi Finished,Nile,"1,500,000"
"Nile Corniche, Helwan",Apartments,3,1,120 ,3,2015,Super lux,Main Street,"450,000"
"Nile Corniche, Helwan",Apartments,2,1,140 ,Ground,Super lux,,,"450,000"
"Nile Corniche, Helwan",Apartments,2,2,100 ,10,Without Finish,,,"210,000"
"Nile Corniche, Helwan",Apartments,3,2,165 ,7,2020,Semi Finished,Nile,"450,000"
"Nile Corniche, Helwan",Apartments,2,1,120 ,7,Without Finish,,,"320,000"
"Nile Corniche, Helwan",Apartments,2,1,110 ,7,Without Finish,,,"260,000"
"Nile Corniche, Helwan",Apartments,2,1,130 ,7,Extra super lux,,,"600,000"
"Nile Corniche, Helwan",Apartments,3,1,120 ,3,Super lux,,,"360,000"
"Nile Corniche, Helwan",Apartments,3,2,135 ,3,Extra super lux,Corner,,"650,000"
"Nile Corniche, Helwan",Apartments,3,1,125 ,12,Super lux,Nile,,"290,000"
"Nile Corniche, Helwan",Apartments,3,3,280 ,6,Extra super lux,Nile,,"1,400,000"
"Nile Corniche, Helwan",Apartments,3,2,220 ,1,Without Finish,,,"490,000"
"Nile Corniche, Helwan",Apartments,2,1,110 ,6,Without Finish,,,"230,000"
"Nile Corniche, Helwan",Apartments,3,1,145 ,8,Super lux,,,"370,000"
"Nile Corniche, Helwan",Apartments,3,1,150 ,Ground,Super lux,Nile,,"650,000"
"Nile Corniche, Helwan",Apartments,3,2,160 ,9,Super lux,Nile,,"850,000"
"Nile Corniche, Helwan",Apartments,3,3,215 ,4,Semi Finished,,,"1,200,000"
"Nile Corniche, Helwan",Apartments,3,1,175 ,4,2015,Super lux,Nile,"800,000"
امام نادي نايل كنتري كلوب. الموقع ١٥ دقيقة من المعادي - ٥ دقائق من الطريق الدائري الاوسطي (نزلة كورنيش النيل)، تطل على كورنيش النيل.,Apartments,4,2,310 ,5,2008,Extra super lux,Nile,"1,250,000"
"Nile Corniche, Helwan",Apartments,3,1,125 ,1,Super lux,,,"550,000"
"Nile Corniche, Helwan",Apartments,4,2,310 ,5,Super lux,Nile,,"1,250,000"
"Nile Corniche, Helwan",Apartments,3,1,125 ,4,2012,Super lux,Other,"380,000"
"Nile Corniche, Helwan",Apartments,2,1,105 ,4,2019,Semi Finished,Garden,"500,000"
"Nile Corniche, Helwan",Apartments,3,1,125 ,1,2018,Super lux,Corner,"390,000"
"Nile Corniche, Helwan",Apartments,3,2,150 ,11,2007,Super lux,Corner,"475,000"
"Nile Corniche, Helwan",Apartments,3,2,190 ,10,2020,Without Finish,Nile,"750,000"
Helwan,Apartments,2,2,100 ,2,2010,Super lux,Main Street,"200,000"
"Nile Corniche, Helwan",Apartments,2,2,100 ,10,Without Finish,,,"210,000"
"Nile Corniche, Helwan",Land,,,2000 ,Main Street,,,,"20,000,000"
