address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
Maadi,Apartments,3,4,261 ,4,2030,Extra super lux,Nile,"13,885,200"
"Bavaria Town, Compounds in Maadi",Apartments,3,3,175 ,9,2014,Semi Finished,Side Street,"1,312,000"
الطريق الدائري - بجوار مودرن أكاديمي والمدرسة البريطانية,Apartments,3,2,170 ,8,2018,Semi Finished,Other,"1,850,000"
Maadi - Crystal Plaza Compound,Apartments,2,2,122 ,9,2021,Semi Finished,,"1,435,000"
"Bitcho American City, Compounds in Maadi",Apartments,3,2,210 ,1,2015,Semi Finished,,"1,100,000"
"Bitcho American City, Compounds in Maadi",Apartments,3,1,130 ,6,2015,Super lux,Back,"800,000"
"Maadi Gardens, Compounds in Maadi",Apartments,3,3,145 ,1,2030,Super lux,Main Street,"1,200,000"
الطريق الدائري بجوار المدرسة البريطانية- بعد كارفور,Apartments,3,2,170 ,8,2020,Semi Finished,Corner,"1,850,000"
"Bavaria Town, Compounds in Maadi",Apartments,2,1,108 ,2,2014,Super lux,Main Street,"1,100,000"
"Tabarak City, Compounds in Maadi",Apartments,3,2,122 ,10,2010,Lux,Main Street,"730,000"
Zahraa El Maadi,Apartments,3,2,190 ,2,2021,Super lux,Main Street,"1,729,000"
Zahraa El Maadi,Apartments,3,2,210 ,2,2021,Super lux,Main Street,"1,911,000"
"مدينة الشروق, Greater Cairo",Apartments,2,2,138 ,3,2022,Semi Finished,Main Street,"1,300,000"
"Compounds In Maadi, Compounds in Maadi",Full Floor,8,5,500 ,6,2013,Semi Finished,Main Street,"6,050,000"
Zahraa El Maadi,Apartments,3,2,195 ,3,2021,Super lux,Side Street,"1,774,500"
"Maadi Heights compound, Ring Road",Separate Villa,5,4,360 ,2002,Without Finish,Garden,,"5,000,000"
"مدينة الشروق, Greater Cairo",Apartments,3,2,138 ,1,2022,Semi Finished,Garden,"1,380,000"
كارفور المعادي 50 متر علي نفس الف,Apartments,2,2,140 ,4,2000,Semi Finished,,"1,100,000"
"Compounds In Maadi, Compounds in Maadi",Apartments,2,1,99 ,2,2018,Super lux,,"908,180"
"مدينة الشروق, Greater Cairo",Town House,5,4,288 ,Ground,Semi Finished,Side Street,,"4,950,000"
Zahraa El Maadi,Apartments,3,3, 235 ,2,2021,Super lux,Corner,"2,138,500"
