address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"New El Marg, Al Marj",Apartments,2,1,80 ,6,2015,Super lux,Corner,"250,000"
"New El Marg, Al Marj",Apartments,2,1,80 ,6,2010,Super lux,Side Street,"27,000"
"Mohamed Nageb, El Marg",Apartments,2,1,70 ,3,1996,Lux,Back,"135,000"
"Mohamed Nageb, El Marg",House / Home,3,1,70 ,2030,Super lux,Side Street,,"9,500,000"
"New El Marg, Al Marj",Apartments,3,1,130 ,5,2013,semi_finished,Main Street,"500,000"
"New El Marg, Al Marj",Apartments,3,1, 100 ,8,1999,Lux,Main Street,"360,000"
"New El Marg, Al Marj",House / Home,2,1,100 ,2020,Lux,Side Street,,"1,200,000"
"New El Marg, Al Marj",Building,,,120 ,Super lux,Side Street,,,"850,000"
"New El Marg, Al Marj",Apartments,2,1,85 ,11,2014,Semi Finished,Main Street,"210,000"
"New El Marg, Al Marj",Land,,,264 ,Side Street,,,,"707,520"
"Mohamed Nageb, El Marg",Apartments,4,1,112 ,3,2007,Super lux,Side Street,"350,000"
المرج/محمد نجيب,Tower,,,320 ,Main Street,,,,"11,000,000"
"Mohamed Nageb, El Marg",Apartments,2,1,110 ,5,2010,Super lux,Corner,"330,000"
"New El Marg, Al Marj",Apartments ,3,1,130 ,7,2013,extra_super_lux,Main Street,"500,000"
"New El Marg, Al Marj",House / Home,3,1,100 ,2005,Super lux,Side Street,,"1,200,000"
"Mohamed Nageb, El Marg",House / Home,2,1,60 ,2000,Lux,Side Street,,"700,000"
"New El Marg, Al Marj",Apartments,3,1,100 ,4,2000,Without Finish,Main Street,"170,000"
"New El Marg, Al Marj",Apartments,3,1,113 ,3,2000,Super lux,Main Street,"330,000"
"Mohamed Nageb, El Marg",House / Home,2,1,85 ,2004,Super lux,Side Street,,"1,300,000"
"Mohamed Nageb, El Marg",Stores,,,88 ,Lux,Main Street,,,"1,764,000"
"New El Marg, Al Marj",Apartments,3,1,80 ,7,2012,Lux,Side Street,"80,000"
"New El Marg, Al Marj",House / Home,3,1,120 ,2008,Without Finish,Side Street,,"700,000"
"Mohamed Nageb, El Marg",Stores,,,18 ,Lux,Main Street,,,"630,000"
بجوار صيدلية تميم,Apartments,3,1,110 ,5,2012,Lux,,"230,000"
"Mohamed Nageb, El Marg",Apartments,3,2,100 ,12,2018,Super lux,Main Street,"500,000"
"Mohamed Nageb, El Marg",Building,,,350 ,2005,Lux,Main Street,,"10,000,000"
"New El Marg, Al Marj",House / Home,3,1, 130 ,2000,Lux,Side Street,,"1,000,000"
"Mohamed Nageb, El Marg",House / Home,3,1,90 ,2014,Super lux,Side Street,,"1,300,000"
"New El Marg, Al Marj",Building,,,159  ,2014,Semi Finished,Corner,,"1,000,000"
"Mohamed Nageb, El Marg",Apartments,2,1,70 ,12,2012,Lux,Other,"70,000"
الامن المركزى,House / Home,,,160 ,2015,Semi Finished,Corner,,"1,100,000"
"El Marg, Greater Cairo",Apartments,3,2,120 ,4,,,,"350,000"
"Mohamed Nageb, El Marg",Residential Land,,,93 ,Side Street,,,,"372,000"
"El Marg, Greater Cairo",Apartments,2,1,110 ,5,,,,"400,000"
"El Marg, Greater Cairo",Apartments,3,1,110 ,6,,,,"270,000"
"Mohamed Nageb, El Marg",Apartments,2,1,90 ,3,2013,Lux,Side Street,"280,000"
"Mohamed Nageb, El Marg",Residential Land,,,130 ,Corner,,,,"550,000"
شارع الجامع امتداد عبدالفتاح أبورية المرج الشرقية,House / Home,,,200 ,Corner,,,,"4,500,000"
"El Marg, Greater Cairo",Apartments,2,1,120 ,,,,,"1,350,000"
"New El Marg, Al Marj",Commercial Land,,,300 ,Main Street,,,,"750,000"
"New El Marg, Al Marj",House / Home,6,3,150 ,2013,Extra super lux,Other,,"400,000"
"New El Marg, Al Marj",Residential Land,,,25200 ,Main Street,,,,"138,600,000"
"El Marg, Greater Cairo",Apartments,2,1,90 ,4,,,,"170,000"
"Mohamed Nageb, El Marg",Residential Land,,,185 ,Side Street,,,,"2,500,000"
"Mohamed Nageb, El Marg",Residential Land,,,115 ,,,,,"494,500"
"New El Marg, Al Marj",Tower,,,160 ,2018,Super lux,Side Street,,"4,000,000"
"New El Marg, Al Marj",Apartments,2,1,75 ,1,Super lux,Main Street,,"220,000"
"Mohamed Nageb, El Marg",Apartments,2,1,80 ,1,2005,Lux,Main Street,"185,000"
"El Marg, Greater Cairo",Apartments,2,1,83 ,3,,,,"260,000"
"New El Marg, Al Marj",House / Home,,,170 ,2018,Super lux,Main Street,,"400,000"
"New El Marg, Al Marj",House / Home,3,1,105 ,2000,super_lux,Main Street,,"930,000"
المرج,Apartments,2,1,60 ,13,2002,Lux,Side Street,"115,000"
تقاطع الدائرى مع محور مؤسسة الزكاة,Apartments,3,1,160 ,5,2015,Without Finish,Main Street,"352,000"
