address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"El Mataria, Greater Cairo",Apartments,3,1,150 ,9,2013,Super lux,Main Street,"650,000"
"El Mataria, Greater Cairo",Apartments,3,2,130 ,8,2012,Super lux,Side Street,"580,000"
"El Mataria, Greater Cairo",Apartments,2,1,80 ,1,2010,Super lux,Side Street,"280,000"
"El Mataria, Greater Cairo",Apartments,3,1,120 ,9,2017,Super lux,Side Street,"400,000"
"Omar El-Mokhtar St., El Amirya",Stores,,,120 ,Super lux,Main Street,,,"1,000,000"
"El Mataria, Greater Cairo",Apartments,2,1,90 ,6,Super lux,,,"350,000"
"El Mataria, Greater Cairo",House / Home,4,4,96 ,2014,Super lux,Side Street,,"1,200,000"
"El Mataria, Greater Cairo",House / Home,,,186 ,1995,Lux,Side Street,,"3,000,000"
"El Mataria, Greater Cairo",Apartments,2,1,85 ,1,1995,Lux,Side Street,"210,000"
"El Mataria, Greater Cairo",Apartments,2,1,100 ,9,Without Finish,,,"200,000"
"El Mataria, Greater Cairo",Apartments,3,2,145 ,5,2020,Super lux,Side Street,"460,000"
"El Mataria, Greater Cairo",House / Home,20,10,184 ,2016,Lux,Main Street,,"2,000,000"
"El Mataria, Greater Cairo",Apartments,3,2,120 ,2,2015,Super lux,Side Street,"400,000"
"El Mataria, Greater Cairo",Apartments,2,1,80 ,4,2030,Super lux,Corner,"330,000"
"El Mataria, Greater Cairo",Apartments,2,1,80 ,1,2020,Super lux,Side Street,"265,000"
٩ أ ش شجرة مريم,Furnished Apartment,2,1,105 ,10,1997,Lux,Side Street,"550,000"
"El Amirya, El Amirya",Apartments,2,1,88 ,1,2004,Super lux,Main Street,"600,000"
"El Mataria, Greater Cairo",Apartments,3,2,149 ,6,2010,Super lux,Main Street,"900,000"
"El Mataria, Greater Cairo",House / Home,10,4,1600 ,1993,Super lux,Side Street,,"2,800,000"
شارع متفرع من ش ترعة الجبل بجوار مترو المطرية وشارع الخارجة,Apartments,2,1,150 ,5,2020,Super lux,Side Street,"500,000"
"El Mataria, Greater Cairo",Apartments,3,1,125 ,8,1998,Lux,Garden,"350,000"
"El Zayton Garden, Greater Cairo",Apartments,3,2,125 ,2,2014,Super lux,Side Street,"870,000"
"El Mataria, Greater Cairo",Apartments,3,1,125 ,10,2019,Super lux,Side Street,"450,000"
"El Mataria, Greater Cairo",Apartments,2,1,95 ,6,2006,Extra super lux,Other,"295,000"
"El Mataria, Greater Cairo",Apartments,2,1,125 ,12,2020,Super lux,Side Street,"420,000"
"El Mataria, Greater Cairo",Apartments,2,1,125 ,12,2030,Super lux,Side Street,"420,000"
"El Mataria, Greater Cairo",Apartments,3,1,100 ,9,2014,Without Finish,Main Street,"250,000"
"El Mataria, Greater Cairo",Apartments,3,1,110 ,8,2015,Super lux,Garden,"550,000"
بجانب نزلة كوبرى مسطرد,Clinics,10,10,1000 ,3,2020,Semi Finished,Main Street,"4,500,000"
"El Mataria, Greater Cairo",Apartments,3,1,100 ,9,2015,Without Finish,Main Street,"250,000"
"El Mataria, Greater Cairo",Stores,,,100 ,Extra super lux,Main Street,,,"1,500,000"
"El Mataria, Greater Cairo",Apartments,2,1,90 ,5,2014,Lux,Side Street,"370,000"
"El Mataria, Greater Cairo",Apartments,3,1,125 ,1,2003,Super lux,Corner,"550,000"
"El Mataria, Greater Cairo",Apartments,3,2,157 ,2,2017,Super lux,Main Street,"570,000"
شارع لتروللى,Apartments,3,1,120 ,5,2011,Super lux,Main Street,"400,000"
"Ezzat Basha St., Shagret Marieam",Apartments,2,1,85 ,12,2012,Super lux,Side Street,"240,000"
"Other Neighborhoods In Greater Cairo, Greater Cairo",Apartments,3,1,130 ,8,2020,Super lux,Side Street,"580,000"
"El Mataria, Greater Cairo",Apartments,2,1,60 ,Ground,1998,Super lux,Side Street,"280,000"
"El Mataria, Greater Cairo",Apartments,3,1,160 ,3,2010,Extra super lux,Main Street,"800,000"
"El Mataria, Greater Cairo",Full Floor,4,2,200 ,8,2009,Without Finish,Side Street,"650,000"
المطرية/شارع علي عوض,Apartments,3,2,155 ,5,1990,Without Finish,Main Street,"650,000"
"El Mataria, Greater Cairo",Apartments,3,2,155 ,8,2007,Super lux,Side Street,"800,000"
"Gisr Elswis Elgedidah, Gisr El Swis",Apartments,3,1,90 ,12,2020,Super lux,Side Street,"380,000"
"El Mataria, Greater Cairo",Apartments,3,2,165 ,8,2020,Super lux,Side Street,"600,000"
المطريه,House / Home,2,1,100 ,4,2012,Super lux,,"750,000"
"El Mataria, Greater Cairo",Apartments,2,1,116 ,3,2007,Super lux,Main Street,"603,200"
