address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Al Hadaba Al Olya, Mokattam",Apartments,3,3,185 ,3,2014,Super lux,Side Street,"1,500,000"
"El Asmarat Neighborhood, Mokattam",Apartments,3,2,118 ,4,2019,Without Finish,Main Street,"885,000"
Mokattam,Villas,5,3,386 ,2022,Extra super lux,Garden,,"26,000,000"
Mokattam,Studio,1,1,30 ,1,2020,Extra super lux,Main Street,"2,100,000"
Mokattam,Apartment with Garden,3,3,223 ,1,2023,Extra super lux,Main Street,"8,400,000"
Uptown Cairo,Separate Villa,6,7,720 ,Super lux,,,,"42,000,000"
Mokattam,Apartments,2,1,140 ,Ground,2023,Extra super lux,Main Street,"5,400,000"
"Street 9, Mokattam",Apartments,3,2,198 ,1,2005,Lux,Main Street,"1,600,000"
"Street 9, Mokattam",Apartments,3,1,190 ,5,2002,Super lux,Garden,"1,300,000"
Uptown Cairo,Villas,5,4,386 ,Super lux,Golf,,,"20,000,000"
"Golden Gates Compound, Compounds In Mokattam",Apartments,3,2,118 ,3,2019,Without Finish,Main Street,"885,000"
Mokattam,Twin House,5,4,310 ,2022,Extra super lux,Main Street,,"19,100,000"
"El Asmarat Neighborhood, Mokattam",Villas,5,3,385 ,2019,Semi Finished,Main Street,,"7,500,000"
"El Mokattam Street, Mokattam",Duplex,4,3,350 ,2,2016,Super lux,Side Street,"2,350,000"
"Hasan Abd El Wahab St., Diplomats",Apartments,3,3,230 ,4,2016,Super lux,Garden,"3,500,000"
Uptown Cairo,Apartments,3,2,207 ,Ground,Super lux,,,"5,500,000"
Uptown Cairo,Separate Villa,5,4,475 ,Super lux,,,,"21,500,000"
"El Asmarat Neighborhood, Mokattam",Villas,5,3,385 ,2019,Semi Finished,Main Street,,"7,500,000"
"El Asmarat Neighborhood, Mokattam",Villas,5,3,385 ,2019,Semi Finished,Main Street,,"7,500,000"
"El Asmarat Neighborhood, Mokattam",Villas,5,3,385 ,Semi Finished,Main Street,,,"7,500,000"
"El Asmarat Neighborhood, Mokattam",Villas,5,3,385 ,2019,Semi Finished,Main Street,,"7,500,000"
"El Asmarat Neighborhood, Mokattam",Villas,5,3,385 ,2019,Semi Finished,Main Street,,"7,500,000"
"G Zone, Al Hadaba Al Olya",Apartments,4,3,265 ,3,2015,Super lux,Garden,"2,400,000"
"El Asmarat Neighborhood, Mokattam",Villas,5,3,385 ,2019,Semi Finished,Main Street,,"7,500,000"
"El Asmarat Neighborhood, Mokattam",Villas,5,3,385 ,2019,Semi Finished,Main Street,,"7,500,000"
Mokattam,Offices,1,1,50 ,1,2019,Semi Finished,Corner,"5,806,000"
Mokattam,Apartments,3,2,171 ,Ground,2023,Extra super lux,Main Street,"6,800,000"
"El Asmarat Neighborhood, Mokattam",Villas,5,3,385 ,2019,Semi Finished,Main Street,,"7,500,000"
Mokattam,Villas,6,5,720 ,2030,Extra super lux,Main Street,,"72,000,000"
"El Asmarat Neighborhood, Mokattam",Villas,5,3,385 ,2019,Semi Finished,Main Street,,"7,500,000"
Mokattam,Stores,,,45 ,Semi Finished,Corner,,,"3,360,000"
Mokattam,Offices,1,1,44 ,3,2019,Semi Finished,Corner,"7,610,000"
"El Asmarat Neighborhood, Mokattam",Villas,5,3,385 ,2019,Semi Finished,Main Street,,"7,500,000"
"El Asmarat Neighborhood, Mokattam",Apartments,2,2,102 ,3,2020,Without Finish,Main Street,"765,000"
Mokattam,Stores,,,44 ,Semi Finished,Corner,,,"3,725,000"
"Golden Gates Compound, Compounds In Mokattam",Duplex,4,3,288 ,1,2020,Without Finish,Garden,"2,160,000"
up town,Duplex,3,3,273 ,2,2020,Extra super lux,Garden,"6,660,000"
"El Asmarat Neighborhood, Mokattam",Villas,5,3,385 ,2019,Semi Finished,Main Street,,"7,500,000"
Mokattam,Villas,5,4,478 ,2022,Extra super lux,Main Street,,"37,000,000"
Mokattam,Offices,1,2,52 ,2,2019,Semi Finished,Corner,"1,949,000"
Levana Up Town cairo,Villas,4,6,667 ,2021,Extra super lux,Golf,,"28,000,000"
Mokattam,Apartments,2,2,144 ,Ground,2023,Extra super lux,Main Street,"5,900,000"
Mokattam,Offices,1,2,50 ,2,2019,Semi Finished,Corner,"3,282,000"
Mokattam,Apartments,2,2,157 ,Ground,2022,Super lux,Main Street,"8,400,000"
بجوار مركزالنصر التجاري,Apartments,3,2,340 ,3,2010,Super lux,,"3,000,000"
Mokattam,Stores,,,50 ,Semi Finished,Corner,,,"2,367,000"
Mokattam,Stores,,,47 ,Semi Finished,Corner,,,"2,616,900"
Mokattam,Apartments,2,2,147 ,Ground,2022,Super lux,Main Street,"7,200,000"
Mokattam,Offices,1,2,45 ,4,2019,Semi Finished,Corner,"4,347,000"
Mokattam,Stores,,,50 ,Semi Finished,Corner,,,"3,874,000"
"South Zone C, Mokattam",Apartments,3,3,190 ,4,2016,Semi Finished,Side Street,"1,200,000"
Mokattam,Apartments,3,2,298 ,Ground,2022,Extra super lux,Main Street,"15,100,000"
"El Asmarat Neighborhood, Mokattam",Studio,1,1,54 ,3,2019,Semi Finished,Main Street,"405,000"
Mokattam,Stores,,,119 ,Semi Finished,Corner,,,"2,240,000"
"El Asmarat Neighborhood, Mokattam",Apartments ,2,2,102 ,3,2019,Without Finish,Main Street,"765,000"
"El Asmarat Neighborhood, Mokattam",Penthouse,3,3,195 ,5,2019,Without Finish,Main Street,"1,682,500"
"The Martyr Corridor, Tenth District",Apartments,3,2,118 ,2,2019,Lux,Main Street,"885,000"
Mokattam,Stores,,,52 ,Extra super lux,Corner,,,"2,904,000"
