address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Ahmed Fakhry, Nasr City",Corporate Branch,5,3,372 ,4,2011,Super lux,Main Street,"5,000,000"
"Abbas El Akkad, Nasr City",Furnished Apartment,2,1,135 ,1,1998,Extra super lux,Main Street,"1,770,000"
اولاد رجب,Stores,,,200 ,Super lux,Main Street,,,"6,250,000"
"Moustafa El Nahaas / Ali Amin, Nasr City",Stores,,,467 ,Super lux,Main Street,,,"16,000,000"
"Ibrahim Nawar,6th district, Nasr city.",Apartments,3,2,200 ,9,1993,Lux,,"1,650,000"
شارع السيدة خديجة,Apartments,3,3,200 ,9,2003,Super lux,Main Street,"1,850,000"
"Abbas El Akkad, Nasr City",Tower,,,4500 ,2020,Without Finish,Main Street,,"31,000,000"
"Abd El-Aziz Eissa St., 9th Zone",Apartments,3,2,190 ,6,2021,Semi Finished,Pool,"1,550,000"
"Moustafa El Nahaas / Ali Amin, Nasr City",Apartments,3,2,190 ,7,2019,Semi Finished,Side Street,"2,280,000"
"Tahsin Farghali St., 1st Zone",Stores,,,30 ,Super lux,Side Street,,,"800,000"
"Sakaliya St., El Manteqah El Sadsa",Apartments,4,3,250 ,4,2015,Super lux,Side Street,"2,800,000"
"Dr Mahmoud Fathi St., 10th Zone",Medical,10,4,700 ,2,2010,Without Finish,Main Street,"10,000,000"
"Degla land mark, جنوب مدينة نصر بين الواحة ومحور المشير طنطاوي",Apartments,3,3,147 ,3,2023,Super lux,Pool,"1,770,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,3,2,135 ,62,2021,Semi Finished,Main Street,"850,000"
New Cairo,Apartment with Garden,4,2,233 ,1,2020,Extra super lux,Main Street,"4,723,000"
"Makram Ebeid, Nasr City",Apartments,3,1,270 ,11,2021,Semi Finished,Other,"2,800,000"
"Ahmed Fakhry, Nasr City",Apartments,3,3,235 ,7,2019,Super lux,Main Street,"2,500,000"
شارع الدكتور احمد محمد ابراهيم متفرع من عباس العقاد ومكرم عبيد,Apartments,3,1,125 ,9,Super lux,Main Street,,"850,000"
"Dr-Hassan El-Sharef St., 8th Zone",Apartments,4,3,280 ,5,2006,Extra super lux,Main Street,"2,500,000"
"Nagy Nasr St., 10th Zone",Apartments,3,2,160 ,4,2008,Super lux,Corner,"1,200,000"
"Nagy Nasr St., 10th Zone",Apartments,3,2,170 ,3,2019,Without Finish,Corner,"1,230,000"
New Cairo,Stores,1,1,94 ,1,2024,Semi Finished,Main Street,"4,493,724"
"Abou Dawoud El Zaheri, Nasr City",Clinics,1,1,66 ,3,2021,Super lux,Main Street,"1,650,000"
"DR Abdallh El arabi, Seventh District",Apartments,3,2,190 ,1,2021,Super lux,Main Street,"2,000,000"
"Mohamed Youssef Moussa St., 1st Zone",Apartments,4,3,270 ,2,2015,Super lux,Main Street,"2,600,000"
"True Gate Compound - El Mansour Development, Compounds in Nasr City",Apartments,3,2,110 ,4,2020,Semi Finished,,"853,160"
"Zakir Hussain / El Mithak, Nasr City",Building,,,645 ,1982,Lux,Main Street,,"23,000,000"
"Ahmed El Zomor St., 8th Zone ",Apartments,3,2,200 ,9,2010,Semi Finished,Main Street,"1,150,000"
New Cairo,Penthouse,4,1,249 ,3,2021,Semi Finished,Garden,"4,916,000"
6 ش المستشار مصطفى درويش - بجوار مدرسة سان جورج,Building,,,185 ,1988,Lux,Side Street,,"1,300,000"
"El-Farik Mohammed Ibrahim St., Eighth District",Apartments,3,2,212 ,10,2004,Super lux,Side Street,"2,200,000"
"Abd El-Aziz Eissa St., 10th Zone",Apartments,3,2,180 ,1,2016,Semi Finished,Main Street,"1,200,000"
"Makram Ebeid, Nasr City",Apartments,3,1,155 ,2,1988,Super lux,Main Street,"1,200,000"
"DR Abdallh El arabi, Seventh District",Apartments,3,2,190 ,9,2022,Semi Finished,Main Street,"2,000,000"
"International Garden, Nasr City",Apartments,3,2,190 ,3,2022,Semi Finished,Main Street,"1,800,000"
"Mahmoud Ghoneim St., El Manteqah El Sadsa",Apartments,3,2,200 ,6,Semi Finished,Side Street,,"1,500,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,3,2,125 ,1,2021,Semi Finished,Main Street,"650,000"
"Makram Ebeid, Nasr City",Apartments,3,2,150 ,8,Super lux,Main Street,,"1,500,000"
"Al Sheikh Mohammed Al Nadi St., El Manteqah El Sadsa",Apartments,4,2,210 ,11,2018,Semi Finished,Main Street,"1,730,000"
