address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
امام كومباوند طيبه روز,Town House,3,3,265 ,2022,Semi Finished,,,"2,200,000"
"New Heliopolis, New Heliopolis",Apartments,3,3,177 ,1,2021,Semi Finished,Main Street,"1,487,000"
"New Heliopolis, New Heliopolis",Apartments,3,3,178 ,1,2021,Semi Finished,Main Street,"1,531,000"
"New Heliopolis, New Heliopolis",Apartments,3,3,178 ,Ground,2021,Semi Finished,Main Street,"1,531,000"
"New Heliopolis, New Heliopolis",Apartments,3,2,150 ,4,2023,Semi Finished,Garden,"855,000"
"New Heliopolis, New Heliopolis",Apartments,3,2,132 ,2,2023,Semi Finished,Garden,"745,800"
"New Heliopolis, New Heliopolis",Apartments,3,3,177 ,5,2021,Semi Finished,Main Street,"1,487,000"
"District 2, New Heliopolis",Apartments,3,3,155 ,2,Semi Finished,Main Street,,"790,500"
"New Heliopolis, New Heliopolis",Apartments,3,3,178 ,Ground,2021,Semi Finished,Main Street,"1,291,000"
"New Heliopolis, New Heliopolis",Apartments,2,1,86 ,1,2023,Semi Finished,Garden,"477,300"
"New Heliopolis, New Heliopolis",Apartments,3,2,145 ,1,2023,Semi Finished,Garden,"812,000"
"New Heliopolis, New Heliopolis",Apartments,3,3,177 ,5,2021,Semi Finished,Main Street,"1,487,000"
"New Heliopolis, New Heliopolis",Apartment with Garden,3,2,143 ,1,2022,Semi Finished,Garden,"786,500"
"New Heliopolis, New Heliopolis",Apartments,2,1,92 ,2,2023,Semi Finished,Garden,"515,200"
"New Heliopolis, New Heliopolis",Apartments,3,2,158 ,4,2022,Semi Finished,Main Street,"829,500"
"New Heliopolis, New Heliopolis",Apartments,3,3,177 ,3,2021,Semi Finished,Main Street,"1,487,000"
"New Heliopolis, New Heliopolis",Chalet with Garden,3,2,129 ,1,2023,Semi Finished,Garden,"722,400"
"New Heliopolis, New Heliopolis",Apartments,3,3,177 ,3,2022,Semi Finished,Main Street,"1,155,000"
"District 2, New Heliopolis",Apartments,3,2,117 ,1,2020,Semi Finished,Side Street,"620,100"
كمبوند لافيدا / شارع البارون - مدينة هليوبلس الجديدة,Apartments,3,2,131 ,5,Semi Finished,Garden,,"1,000,000"
"La Vida Compound - MG Developments, Compounds in New Heliopolis",Apartments,3,2,122 ,2,2021,Semi Finished,Pool,"1,140,190"
"New Heliopolis, New Heliopolis",Apartments,3,3,177 ,4,2021,Semi Finished,Main Street,"1,487,000"
"District 6, New Heliopolis",Apartments,3,3,133 ,4,2022,Semi Finished,Garden,"758,100"
بإمتداد مصر الجديدة,Apartments,3,2,145 ,5,2020,Semi Finished,,"1,120,000"
"New Heliopolis, New Heliopolis",Apartments,3,2,145 ,4,2022,Semi Finished,Main Street,"775,750"
هليوبوليس الجديدة,Apartments,3,3,177 ,2,2021,Semi Finished,,"1,229,500"
"District 2, New Heliopolis",Apartments,3,1,130 ,2,2021,Semi Finished,Main Street,"689,000"
"New Heliopolis, New Heliopolis",Apartments,2,1,104 ,3,2022,Semi Finished,Main Street,"556,400"
"New Heliopolis, New Heliopolis",Apartments,3,3, 173 ,1,2021,Semi Finished,Main Street,"1,514,000"
بالقرب من الشروق,Apartments,3,3,150 ,2021,Semi Finished,,,"774,000"
New Heliopolis,Apartments,3,2,132 ,2,2020,Semi Finished,Garden,"1,056,000"
"New Heliopolis, New Heliopolis",Apartments,3,2,158 ,4,2022,Semi Finished,Main Street,"829,500"
"New Heliopolis, New Heliopolis",Apartments,3,3,174 ,Ground,2021,Semi Finished,Main Street,"1,262,000"
"New Heliopolis, New Heliopolis",Apartments,3,3,173 ,1,2021,Semi Finished,Main Street,"1,514,000"
"New Heliopolis, New Heliopolis",Apartments,3,3,173 ,4,2021,Semi Finished,Main Street,"1,298,000"
"New Heliopolis, New Heliopolis",Apartments,2,1,92 ,2,2023,Semi Finished,Garden,"515,200"
"New Heliopolis, New Heliopolis",Apartments,3,3,173 ,2,2021,Semi Finished,Main Street,"1,514,000"
"New Heliopolis, New Heliopolis",Apartments,3,3,160  ,4,2022,Semi Finished,Main Street,"1,172,000"
"New Heliopolis, New Heliopolis",Apartments,3,3,156 ,4,2022,Semi Finished,Main Street,"1,315,000"
"New Heliopolis, New Heliopolis",Apartments,3,2,145 ,5,2022,Semi Finished,Main Street,"1,180,000"
"New Heliopolis, New Heliopolis",Apartments,3,2,158 ,4,2022,Semi Finished,Main Street,"829,500"
"New Heliopolis, New Heliopolis",Apartments,3,2,133 ,5,2022,Semi Finished,Main Street,"985,000"
"New Heliopolis, New Heliopolis",Apartments,3,3,173 ,2,2021,Semi Finished,Main Street,"1,298,000"
"New Heliopolis, New Heliopolis",Apartments,4,3,202 ,5,2021,Semi Finished,,"1,395,925"
امام كمبوند سوديك ايست مباشرة,Apartments,4,3,220 ,3,2021,Semi Finished,,"1,517,000"
"New Heliopolis, New Heliopolis",Apartments,4,3,202 ,5,2021,Semi Finished,,"1,396,000"
"New Heliopolis, New Heliopolis",Apartment with Garden,3,2,129 ,1,2023,Semi Finished,Garden,"722,400"
"New Heliopolis, New Heliopolis",Apartments,3,3,173 ,1,2021,Semi Finished,,"1,175,313"
امام كمبوند سوديك ايست مباشرة,Apartments,3,3,162 ,1,2021,Semi Finished,,"1,337,000"
امام كمبوند سوديك ايست مباشرة,Apartments,3,3,179 ,5,2021,Semi Finished,,"1,107,000"
"New Heliopolis, New Heliopolis",Apartments,3,3,177 ,1,2022,Semi Finished,Main Street,"1,545,000"
"New Heliopolis, New Heliopolis",Apartments,3,2,130 ,Ground,2021,Semi Finished,Main Street,"903,500"
"New Heliopolis, New Heliopolis",Apartments,3,3,160 ,5,2022,Semi Finished,Main Street,"1,172,000"
"New Heliopolis, New Heliopolis",Apartments,3,3,162 ,3,2021,Semi Finished,Main Street,"1,337,000"
"New Heliopolis, New Heliopolis",Apartments,3,3,162 ,1,2021,Semi Finished,Main Street,"1,337,000"
"New Heliopolis, New Heliopolis",Apartments,2,1,91 ,3,2021,Semi Finished,Main Street,"490,000"
"New Heliopolis, New Heliopolis",Apartments,3,3,153 ,5,2022,Semi Finished,Main Street,"1,125,000"
"District 2, New Heliopolis",Apartments,3,2,143 ,4,2023,Semi Finished,,"873,700"
بالقرب من الشروق,Apartments,3,3,175 ,2021,Semi Finished,,,"896,000"
"District 2, New Heliopolis",Apartments,2,1,93 ,1,Semi Finished,,,"450,000"
"New Heliopolis, New Heliopolis",Apartments,3,2,132 ,4,2023,Semi Finished,Garden,"739,200"
"New Heliopolis, New Heliopolis",Duplex,2,1,190 ,1,Semi Finished,,,"988,000"
الحي الثاني عمارات شركة مصر الجديدة,Apartments,2,1,93 ,2,2010,Semi Finished,Main Street,"465,000"
"New Heliopolis, New Heliopolis",Villas,3,3, 443 ,2022,Semi Finished,Side Street,,"2,350,000"
"La Vida Compound - MG Developments, Compounds in New Heliopolis",Apartments,2,2,109 ,2,2021,Semi Finished,Pool,"1,041,000"
امام كمبوند سوديك ايست مباشرة,Apartments,5,3,206 ,2021,Semi Finished,,,"1,160,500"
بالقرب من الشروق,Apartments,3,3,173 ,5,2021,Semi Finished,,"1,251,000"
بالقرب من العاصمة الادارية,Apartments,4,3,202 ,1,2021,Semi Finished,,"1,396,000"
"New Heliopolis, New Heliopolis",Apartments,2,2,123 ,1,Without Finish,,,"850,000"
"New Heliopolis, New Heliopolis",Apartments,5,4,315 ,2,Super lux,,,"2,900,000"
"New Heliopolis, New Heliopolis",Apartments,3,3,173 ,5,2021,Semi Finished,Main Street,"1,514,000"
"New Heliopolis, New Heliopolis",Apartments,2,1,104 ,3,2022,Semi Finished,Main Street,"556,400"
"New Heliopolis, New Heliopolis",Apartments,2,1,93 ,4,Super lux,,,"420,000"
"New Heliopolis, New Heliopolis",Apartments,2,1,93 ,2,Semi Finished,,,"570,000"
"New Heliopolis, New Heliopolis",Apartments,3,2,135 ,4,Without Finish,,,"650,000"
"New Heliopolis, New Heliopolis",Apartments,3,1,113 ,1,Semi Finished,,,"500,000"
قريب من الطرق الرئيسية والطريق الدائرى,Apartments,3,3,162 ,2,2020,Semi Finished,,"1,175,000"
"New Heliopolis, New Heliopolis",Apartments,3,2,140 ,4,2021,Semi Finished,Main Street,"784,000"
"4th Area - New Heliopolis, New Heliopolis",Villas,5,6,525 ,2018,Semi Finished,,,"2,100,000"
"New Heliopolis, New Heliopolis",Apartments,3,2,145 ,4,2022,Semi Finished,Main Street,"775,750"
"District 6, New Heliopolis",Apartments,2,1,106 ,3,2020,Semi Finished,Main Street,"560,000"
"New Heliopolis, New Heliopolis",Apartments,3,2,129 ,1,2023,Semi Finished,Garden,"722,400"
"District 6, New Heliopolis",Apartment with Garden,3,3,154 ,Ground,Semi Finished,,,"750,000"
"New Heliopolis, New Heliopolis",Apartments,2,1,104 ,3,2022,Semi Finished,Main Street,"556,400"
"New Heliopolis, New Heliopolis",Apartments,3,2,145 ,4,2023,Semi Finished,Garden,"775,750"
"District 6, New Heliopolis",Apartments,3,2,168  ,2,2021,Semi Finished,Main Street,"856,800"
"New Heliopolis, New Heliopolis",Apartments,2,1,86 ,1,2023,Semi Finished,Garden,"477,300"
"District 6, New Heliopolis",Apartments,3,2,152 ,2,2021,Semi Finished,Main Street,"790,400"
"New Heliopolis, New Heliopolis",Apartments,3,1,125 ,3,Semi Finished,,,"525,000"
"New Heliopolis, New Heliopolis",Apartments,3,2,158 ,4,2022,Semi Finished,Main Street,"829,500"
"New Heliopolis, New Heliopolis",Apartments,2,1,104 ,3,2022,Semi Finished,Main Street,"556,400"
"Compounds In Heliopolis, Compounds in Heliopolis",Apartments,3,2,122 ,5,2018,Semi Finished,Main Street,"1,200,000"
"New Heliopolis, 6th district",Apartments,2,2,123 ,3,2018,Semi Finished,Main Street,"820,000"
"New Heliopolis, El Shorouk & New Heliopolis",Apartments,2,1,105 ,2,2015,Super lux,Back,"600,000"
"New Heliopolis, New Heliopolis",Apartments,2,1,100 ,3,Semi Finished,,,"400,000"
"New Heliopolis, New Heliopolis",Land,,,5200 ,Main Street,,,,"28,600,000"
"New Heliopolis, New Heliopolis",Apartment with Garden,3,2,143  ,1,2023,Semi Finished,Garden,"786,500"
"La Vida Compound - MG Developments, Compounds in New Heliopolis",Apartments,3,2,129 ,2,Super lux,,,"1,000,000"
"New Korba, Compounds in New Heliopolis",Apartments,3,1,104 ,2,Semi Finished,,,"500,000"
"New Heliopolis, New Heliopolis",Apartments,2,1,100 ,Ground,Semi Finished,,,"550,000"
"La Vida Compound - MG Developments, Compounds in New Heliopolis",Apartments,3,2,138 ,2,Lux,,,"1,350,000"
"New Heliopolis, New Heliopolis",Apartments,2,1,90 ,1,Super lux,,,"450,000"
"District 6, New Heliopolis",Apartments,3,3,144 ,2,Semi Finished,,,"750,000"
"New Heliopolis, New Heliopolis",Apartments,3,2, 145 ,1,Semi Finished,,,"850,000"
"District 2, New Heliopolis",Apartments,2,1,90 ,3,2005,Super lux,Garden,"525,000"
"New Heliopolis, New Heliopolis",Apartments,3,2,132 ,2,2023,Semi Finished,Garden,"745,800"
"New Heliopolis, New Heliopolis",Apartments,3,2,148 ,1,2022,Semi Finished,Main Street,"791,800"
"New Heliopolis, New Heliopolis",Apartments,3,2,132 ,2,2023,Semi Finished,Garden,"745,800"
"District 2, New Heliopolis",Apartment with Garden,2,2,123 ,Ground,2017,Without Finish,Side Street,"615,000"
