address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Seventh Neighborhood, El Oubour",Apartments,3,3,300 ,1,2021,Semi Finished,Main Street,"1,650,000"
"Ninth Neighborhoods, El Oubour",Apartments,3,2,160 ,2,2018,Super lux,Main Street,"950,000"
"Ninth Neighborhoods, El Oubour",Apartments,2,2,135 ,1,2021,Super lux,Garden,"850,000"
ويقع مباشرة علي المحاور الرئيسيه بمدينة مدينة العبور 5دقايق من مستشفي فريد حبيب وكارفور,Villas,3,2,228 ,2021,Super lux,,,"3,929,107"
"Seventh Neighborhood, El Oubour",Apartments,4,3,220 ,1,2020,Semi Finished,Main Street,"1,500,000"
"Ninth Neighborhoods, El Oubour",Apartment with Garden,3,2,150 ,Ground,2021,Semi Finished,Main Street,"680,000"
"Ninth Neighborhoods, El Oubour",Apartments,3,2,145 ,3,2021,Super lux,Garden,"850,000"
Obour,Duplex,4,1,390 ,2,2024,Extra super lux,Garden,"4,884,750"
"Fifth Neighborhood, El Oubour",Apartments,3,2,150 ,1,2021,Semi Finished,Garden,"800,000"
"Second Neighborhood, El Oubour",Apartments,3,2,150 ,1,2021,Without Finish,Main Street,"650,000"
"Ninth Neighborhoods, El Oubour",Apartments,2,2,150 ,3,2021,Super lux,Main Street,"800,000"
"Sixth Neighborhood, El Oubour",Apartments,3,2,200 ,2,2018,Super lux,,"1,400,000"
"Seventh Neighborhood, El Oubour",Apartments,3,2,200 ,1,2021,Semi Finished,Main Street,"1,500,000"
"Seventh Neighborhood, El Oubour",Apartments,3,3,200 ,1,2021,Semi Finished,Side Street,"1,300,000"
"Seventh Neighborhood, El Oubour",Apartments,3,3,200 ,1,2021,Semi Finished,Side Street,"1,400,000"
"Seventh Neighborhood, El Oubour",Apartments,3,2,150 ,2,2019,Super lux,Main Street,"1,300,000"
"Seventh Neighborhood, El Oubour",Apartment with Garden,3,3,350 ,Ground,2021,Semi Finished,Side Street,"1,375,000"
Obour City - Orabi Square,Commercial,,,87 ,Lux,Main Street,,,"5,392,780"
"Sixth Neighborhood, El Oubour",Apartments,3,2,180 ,2,2018,Semi Finished,Main Street,"1,100,000"
"Seventh Neighborhood, El Oubour",Apartments,3,2,200 ,1,2021,Semi Finished,Main Street,"1,600,000"
"Seventh Neighborhood, El Oubour",Apartments,3,2,200 ,1,2018,Lux,Main Street,"1,600,001"
"Eighth Neighborhood, El Oubour",Duplex,3,3,225 ,1,2016,Super lux,Main Street,"1,500,000"
"Seventh Neighborhood, El Oubour",Apartments,3,3,235 ,1,2021,Semi Finished,Side Street,"1,600,000"
"El Oubour, El Oubour",Apartments,2,2,101 ,2,2021,Super lux,Garden,"808,000"
"Seventh Neighborhood, El Oubour",Apartments,3,3,250 ,1,2022,Semi Finished,Main Street,"2,250,000"
"Golf City, El Oubour",Palace,14,19,1300 ,2016,Extra super lux,Main Street,,"32,000,000"
El Obour,Villas,5,5,533 ,2021,Semi Finished,Main Street,,"2,310,000"
"Sixth Neighborhood, El Oubour",Duplex,3,3,350 ,Ground,2018,Semi Finished,Corner,"1,250,000"
"Ninth Neighborhoods, El Oubour",Apartments,4,3,190 ,1,2021,Semi Finished,,"931,000"
"First Neighborhood, El Oubour",Apartments,3,2,195 ,2,2020,Semi Finished,Main Street,"875,000"
"El Oubour, El Oubour",Apartments,3,2,160 ,1,2021,Super lux,,"530,000"
"Seventh Neighborhood, El Oubour",Apartments,3,3,285 ,1,2021,Semi Finished,Main Street,"2,280,000"
"El Oubour, El Oubour",Duplex,4,3,450 ,Ground,2021,Super lux,,"1,950,000"
"Sixth Neighborhood, El Oubour",Villas,10,7,600 ,2021,Super lux,,,"7,000,000"
"El Oubour, El Oubour",Apartments,3,1,90 ,Ground,2021,Super lux,,"220,000"
"El Oubour, El Oubour",Apartments,3,1,90 ,Ground,2021,Super lux,,"220,000"
"Fifth Neighborhood, El Oubour",Duplex,4,3,400 ,Ground,2018,Semi Finished,Side Street,"1,200,000"
"El Oubour, El Oubour",Apartments,2,2,180 ,Ground,2021,Super lux,,"1,500,000"
"Fourth Neighborhood, El Oubour",Apartments,3,2,135 ,1,Super lux,,,"800,000"
"Ninth Neighborhoods, El Oubour",Apartments,3,2,190 ,4,2021,Super lux,,"1,100,000"
"First Neighborhood, El Oubour",Apartments,3,2,175 ,1,Super lux,Corner,,"850,000"
"El Oubour, El Oubour",Land,,,132000 ,,,,,"50,000,000"
"Second Neighborhood, El Oubour",Villas,5,4,406 ,2021,Super lux,,,"4,200,000"
"El Oubour, El Oubour",Apartments,2,1,70 ,1,2021,Super lux,,"170,000"
"El Oubour, El Oubour",Apartments,3,1,150 ,1,2021,Super lux,,"650,000"
"El Oubour, El Oubour",Land,,,260 ,,,,,"3,250,000"
"First Neighborhood, El Oubour",Apartments,2,1,85 ,2,2021,Super lux,,"390,000"
"Fifth Neighborhood, El Oubour",Apartments,5,3,435 ,Ground,2021,Super lux,,"2,600,000"
"Ninth Neighborhoods, El Oubour",Apartments,3,2,187 ,Ground,2021,Super lux,,"900,000"
"El Oubour, El Oubour",Apartments,3,2,125 ,4,2021,Super lux,,"480,000"
"Ninth Neighborhoods, El Oubour",Apartments,3,3,277 ,2,2020,Semi Finished,Garden,"1,385,000"
"First Neighborhood, El Oubour",Apartments,2,1,85 ,3,2021,Super lux,,"410,000"
"Ninth Neighborhoods, El Oubour",Apartments,3,2,185 ,2,2019,Without Finish,Main Street,"1,150,000"
"Youth Housing, El Oubour",Stores,,,40 ,Super lux,,,,"1,000,000"
"Eighth Neighborhood, El Oubour",Apartments,2,1,66 ,4,2021,Super lux,,"210,000"
"Ninth Neighborhoods, El Oubour",Apartments,2,1,145 ,Ground,2009,Super lux,Garden,"900,000"
"El Oubour, El Oubour",Farm,,,42000 ,Other,,,,"13,000,000"
"Second Neighborhood, El Oubour",Apartments,3,2,200 ,3,2021,Semi Finished,,"700,000"
"Second Neighborhood, El Oubour",Apartments,2,1,63 ,3,2021,Super lux,,"300,000"
"Ninth Neighborhoods, El Oubour",Apartments,3,2,200 ,3,2016,Super lux,Main Street,"1,150,000"
الحي السادس العبور,Roof,2,2,150 ,3,2019,Semi Finished,Main Street,"800,000"
"Fifth Neighborhood, El Oubour",Apartment with Garden,2,2,95 ,2,2023,Lux,Garden,"1,400,000"
"El Oubour, El Oubour",Apartments,2,1,63 ,3,2021,Super lux,,"350,000"
"Golf City, El Oubour",Palace,15,12,1700 ,2018,Extra super lux,Golf,,"35,000,000"
"El Oubour, El Oubour",Apartments,3,1,115 ,3,2021,Super lux,,"300,000"
"Ninth Neighborhoods, El Oubour",Apartment with Garden,5,3,325 ,Ground,2011,Super lux,Main Street,"1,690,000"
"Fifth Neighborhood, El Oubour",Apartments,4,3,260 ,1,2013,Extra super lux,Main Street,"1,800,000"
"El Oubour, El Oubour",Building,,,260 ,2008,Super lux,Corner,,"3,200,000"
"Third Neighborhood, El Oubour",Separate Villa,3,1,330 ,2021,Super lux,,,"5,400,000"
"Youth Housing, El Oubour",Apartments,2,1,70 ,Ground,2021,Super lux,,"320,000"
"Second Neighborhood, El Oubour",Apartments,2,1,68 ,Ground,2021,Super lux,,"250,000"
"Youth Housing, El Oubour",Apartments,3,2,125 ,4,Super lux,,,"650,000"
"Ninth Neighborhoods, El Oubour",Building,,,2000 ,2017,Super lux,Garden,,"14,000,000"
"Ninth Neighborhoods, El Oubour",Furnished Apartment,2,2,130 ,1,Super lux,Garden,,"1,300,000"
"First Neighborhood, El Oubour",Duplex,4,3,320 ,1,2005,Super lux,Garden,"2,450,000"
"Ninth Neighborhoods, El Oubour",Apartments,2,2,122 ,3,Super lux,,,"700,000"
"Sixth Neighborhood, El Oubour",Apartments,3,3,200 ,2,2021,Without Finish,Main Street,"1,000,000"
"Ninth Neighborhoods, El Oubour",Stores,,,40 ,Super lux,,,,"1,300,000"
"Ninth Neighborhoods, El Oubour",Apartments,3,2,200 ,2,2021,Semi Finished,,"1,200,000"
"El Oubour, El Oubour",Apartments,3,1,100 ,3,2021,Semi Finished,,"180,000"
الحي السادس، العبور,Villas,,,1325 ,Side Street,,,,"10,000,000"
"First Industrial Zone, Industrial Zones",Factory,,,850 ,2021,Super lux,,,"2,600,000"
"Seventh Neighborhood, El Oubour",Apartments,3,1,150 ,2,2015,Super lux,Main Street,"1,450,000"
"Ninth Neighborhoods, El Oubour",Apartments,3,2,185 ,2,Semi Finished,Garden,,"970,000"
"Ninth Neighborhoods, El Oubour",Apartment with Garden,3,2,220 ,Ground,2011,Semi Finished,Garden,"1,030,000"
"First Neighborhood, El Oubour",Apartments,3,2,220 ,3,2018,Semi Finished,,"1,100,000"
"Golf city compound , obour , Cairo",Duplex,3,3,260 ,1,2005,Semi Finished,Main Street,"2,300,000"
بجانب مسجد العربي,Apartments,3,3,230 ,3,2010,Super lux,Main Street,"1,400,000"
"Youth Housing, El Oubour",Apartments,3,2,135 ,4,Lux,,,"650,000"
"Entertainment District, El Oubour",Apartments,3,3,165 ,1,2023,Semi Finished,Main Street,"1,072,500"
"First Neighborhood, El Oubour",Apartments,1,1,68 ,Ground,2010,Lux,Side Street,"250,000"
"El Oubour, El Oubour",Apartments,3,2,200 ,5,2018,Semi Finished,,"500,000"
"11,18051",House / Home,3,1,2800 ,2018,Semi Finished,Main Street,,"15,000,000"
"Ninth Neighborhoods, El Oubour",Apartments,3,1,169 ,3,2013,Super lux,Main Street,"850,000"
"Fifth Neighborhood, El Oubour",Separate Villa,8,4,600 ,2021,Super lux,,,"3,300,000"
"Seventh Neighborhood, El Oubour",Apartment with Garden,3,3,200 ,Ground,2020,Semi Finished,Main Street,"1,700,000"
"High City, El Oubour",Apartments,3,3,207  ,1,2021,Extra super lux,Main Street,"1,928,500"
"Eighth Neighborhood, El Oubour",Apartments,3,2,192 ,3,2021,Super lux,,"1,250,000"
"Ninth Neighborhoods, El Oubour",Apartments,3,2,169 ,3,2016,Without Finish,,"850,000"
"Second Neighborhood, El Oubour",Roof,2,1,150 ,4,2017,Semi Finished,,"550,000"
العبور الصناعي/امتداد غرب,Factory,,,1200 ,2010,,,,"21,700,000"
"Entertainment District, El Oubour",Apartments,1,1,63 ,Ground,2021,Super lux,,"320,000"
"El Oubour, El Oubour",Apartments,3,1, 90 ,5,2021,Super lux,,"500,000"
"Second Neighborhood, El Oubour",Building,,,252 ,2013,Without Finish,Main Street,,"3,500,000"
"Ninth Neighborhoods, El Oubour",Apartments,3,3,175 ,1,2021,Super lux,,"1,300,000"
"El Oubour, El Oubour",Apartments,3,2,260 ,4,2021,Super lux,,"2,300,000"
