address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Sakr Kourish Buildings, Saqr Quraish",Apartments,3,1,152 ,4,1988,Super lux,Garden,"670,000"
"Sakr Kourish Buildings, Saqr Quraish",Apartments,3,1,130 ,2,1990,Super lux,Main Street,"470,000"
صقر قريش المعادي,Apartments,3,1,140 ,4,1998,Super lux,Main Street,"580,000"
"Al Bahs Al Genaea, Saqr Quraish",Apartments,3,2,155  ,5,2021,Super lux,Main Street,"1,150,000"
"Al Moneib Axis, Saqr Quraish",Apartments,2,1,117 ,1,2021,Super lux,Side Street,"580,000"
"Helwan, Helwan",Apartments,2,1,102 ,2,2001,Super lux,Side Street,"490,000"
شارع البحث الجنائي، صقر قريش,Apartments,2,2,135 ,3,2030,Super lux,Side Street,"700,000"
"Al Bahs Al Genaea, Saqr Quraish",Stores,,,77 ,Without Finish,Side Street,,,"700,000"
"Street 306, Saqr Quraish",Apartments,3,2,140 ,4,2000,Super lux,Main Street,"800,000"
"Sakr Kourish Buildings, Saqr Quraish",Administrative,3,2,170 ,2009,extra_super_lux,Main Street,,"1,500,000"
"Sakr Kourish Buildings, Saqr Quraish",Apartments,3,1,117 ,5,Super lux,Main Street,,"600,000"
"Sakr Kourish Buildings, Saqr Quraish",Apartments,3,1,117 ,5,1990,Super lux,,"600,000"
"Sakr Kourish Buildings, Saqr Quraish",Stores,,,33 ,Super lux,Main Street,,,"650,000"
"Masaken El Kendi, Saqr Quraish",Apartments,3,2,140 ,3,2030,Lux,Main Street,"670,000"
مسجد التيسير,Administrative,3,2,170 ,2009,Super lux,Main Street,,"1,500,000"
"Sakr Kourish Buildings, Saqr Quraish",Apartments,3,1,100 ,2,Super lux,Corner,,"600,000"
"El Nasr Rd, Saqr Quraish",Apartments,3,2,137 ,5,Lux,Back,,"800,000"
