address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"No. 22, Sarayat El Maadi",Apartments,4,3,350 ,4,Super lux,Main Street,,"6,000,000"
"Street 77, Sarayat El Maadi",Apartments,3,2,130 ,Ground,2030,Extra super lux,Side Street,"2,600,000"
"No. 22, Sarayat El Maadi",Apartments,3,2,240 ,4,Semi Finished,Pool,,"2,800,000"
سرايات المعادى Maddi Sarayat,Apartments,4,3,300 ,1,2015,Super lux,Corner,"3,100,000"
"Street 14, Sarayat El Maadi",Villas,10,4,498 ,2030,Super lux,Main Street,,"18,000,000"
"Al Golf St., Sarayat El Maadi",Apartments,3,3,325 ,3,2030,Super lux,Corner,"4,750,000"
"Oraby St., Sarayat El Maadi",Apartments,4,4,350 ,4,2011,Super lux,Garden,"5,200,000"
"Zahraa El Maadi St, Zahraa El Maadi",Duplex,5,3,380 ,Ground,2030,Super lux,Garden,"4,500,000"
سرايات المعادى,Apartments,4,4,380 ,3,2015,Super lux,,"7,000,000"
المعادى,Apartments,2,2,180 ,2,2019,Semi Finished,Main Street,"2,725,000"
"Street 14, Sarayat El Maadi",Furnished Apartment,2,2,100 ,2,2000,Super lux,Side Street,"1,700,000"
السرايات الغربيه,Apartments,3,3,205 ,7,2000,Super lux,,"2,500,000"
سرايات المعادي/رقم. 21,Apartment with Garden,,,360 ,Pool,,,,"9,000,000"
"Mostafa Kamel Square, Sarayat El Maadi",Duplex,4,4,400 ,1,2004,Super lux,Pool,"8,000,000"
سرايات المعادي/شارع الجولف,Furnished Apartment,2,2,140 ,1,2002,Super lux,Main Street,"2,700,000"
سرايات المعادي,Villas,7,4,524 ,1960,Super lux,Main Street,,"10,500,000"
سرايات المعادي/شارع 77,Apartments,3,3,225 ,2,2002,Super lux,Garden,"4,200,000"
"Street 23, Sarayat El Maadi",Apartments,3,2,240 ,1,2015,Super lux,Main Street,"4,200,000"
سرايات المعادي/رقم. 21,Apartments,3,3,250 ,1,2001,Super lux,Garden,"4,000,000"
Greater Cairo / El Maadi / Sarayat El Maadi / Mostafa Kamel Square,Apartment with Garden,3,1,160 ,2,1970,Super lux,Main Street,"3,850,000"
سرايات المعادي,Villas,8,5,524 ,1965,Super lux,Main Street,,"10,250,000"
سرايات المعادي/شارع الجولف,Apartments,4,2,240 ,2,2004,Super lux,Garden,"3,300,000"
"Street 77, Sarayat El Maadi",Apartments,2,1, 156 ,3,Super lux,,,"1,700,000"
"Street 77, Sarayat El Maadi",Furnished Apartment,3,1,125 ,3,2011,Super lux,Garden,"900,000"
"Oraby St., Sarayat El Maadi",Apartments,3,3,200 ,1,Super lux,Main Street,,"2,800,000"
سرايات المعادي/شارع النادي,Penthouse,4,3,400 ,4,2020,Super lux,Garden,"8,500,000"
"El-Nahda St., Sarayat El Maadi",Duplex,3,3,250 ,2,Super lux,Main Street,,"4,500,000"
سرايات المعادي/شارع 78,Furnished Apartment,3,3,165 ,1,2006,Super lux,Corner,"3,500,000"
سرايات المعادي/شارع 23,Apartments,3,2,220 ,3,2001,Super lux,Main Street,"3,500,000"
سرايات المعادي/شارع الجولف,Apartment with Garden,,,220 ,Garden,,,,"3,500,000"
"Street 77, Sarayat El Maadi",Apartments,3,2,135 ,8,2021,Semi Finished,Side Street,"580,000"
سرايات المعادي/شارع 78,Apartments,3,2,200 ,2,2002,Super lux,Side Street,"3,300,000"
شارع 6,Apartments,3,2,220 ,3,1990,Super lux,,"2,400,000"
شارع دمشق، سرايات المعادي,Villas,5,7,275 ,2030,Lux,Corner,,"20,000,000"
Maadi as Sarayat Al Gharbeyah,Apartments,5,4,350 ,3,2030,Super lux,Garden,"6,500,000"
"Street 19, Sarayat El Maadi",Apartments,4,3,320 ,1,2014,Super lux,Main Street,"4,000,000"
"Street 14, Sarayat El Maadi",Apartments,2,2,150 ,3,2000,Super lux,Side Street,"1,700,000"
٩ش طه أبوريه أحمد زكي,Apartments,4,1,100 ,3,1973,Lux,Side Street,"350,000"
"Street 16, Sarayat El Maadi",Apartments,3,3,250 ,5,2016,Super lux,Main Street,"3,500,000"
سرايات المعادي/شارع 23,Apartments,4,3,315 ,3,2002,Super lux,Main Street,"5,000,000"
سرايات المعادي/رقم. 21,Apartments,3,3,143 ,3,2002,Super lux,Garden,"2,200,000"
"7th El Canal street, Thakanat El Maadi",Apartments,2,1,125 ,5,1997,Lux,Main Street,"1,125,000"
المعادي,Apartments,4,4,300 ,3,2030,Super lux,Side Street,"3,600,000"
سرايات المعادي/شارع النادي,Apartments,3,3,220 ,1,2002,Super lux,Garden,"3,200,000"
"Street 77, Sarayat El Maadi",Apartments,3,2,142 ,2,2021,Super lux,Side Street,"1,400,000"
"Al Nadi St., Sarayat El Maadi",Apartments,3,2,140 ,4,2000,Super lux,Main Street,"1,350,000"
سرايات المعادي/شارع 78,Apartments,4,3,260 ,3,2001,Lux,Side Street,"4,500,000"
سرايات المعادي/شارع الجولف,Apartments,3,3,200 ,2,2002,Super lux,Garden,"2,500,000"
"Street 256, Sarayat El Maadi",Apartments,8,2,200 ,4,2018,Super lux,Side Street,"2,350,000"
"Al Golf St., Sarayat El Maadi",Separate Villa,4,3,250 ,2030,Super lux,Pool,,"6,000,000"
