address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Ivy Residence, Compounds in Elshorouk City",Apartment with Garden,2,2,125 ,Ground,2021,Semi Finished,Garden,"1,480,250"
"Neighbourhood 3, Hai El Zohour - Second Zone",Apartment with Garden,3,3,205 ,1,2019,Semi Finished,Garden,"1,000,000"
"Neighbourhood 1, Hai El Yassmin - Eighth Zone",Apartments,4,3,188 ,2,2018,Semi Finished,Main Street,"990,000"
"Neighbourhood 2, Hai El-Morgan - Fourth Neighborhood",Apartments,3,3,195 ,1,2022,Semi Finished,Main Street,"1,190,000"
"Neighbourhood 2 B, Hai El Massa - Second Neighborhood West",Apartment with Garden,2,1,100 ,Ground,2021,Semi Finished,Main Street,"560,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,3,3,159 ,2,2021,Semi Finished,,"1,832,850"
"Neighbourhood 4, Hai El-Morgan - Fourth Neighborhood",Apartments,3,3,235 ,1,2021,Semi Finished,Other,"1,200,000"
"New Heliopolis, New Heliopolis",Apartment with Garden,3,3,147 ,Ground,2022,Semi Finished,Main Street,"755,000"
"Neighbourhood 1, Hai Tulip - Sixth Zone",Apartments,3,1,130 ,3,2021,Semi Finished,Side Street,"663,000"
"Neighbourhood 1, Hai Tulip - Sixth Zone",Roof,4,3,206 ,4,2019,Semi Finished,Garden,"750,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,2,2,125 ,2,2021,Semi Finished,Garden,"1,582,750"
قطعه 102,Apartments,3,2,145 ,2,2020,Semi Finished,,"797,500"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Penthouse,2,2,125 ,3,2021,Semi Finished,Garden,"1,732,650"
"Neighbourhood 2A, Hai El Massa - Second Neighborhood West",Apartment with Garden,2,1,100 ,Ground,2021,Semi Finished,Garden,"560,000"
"Neighbourhood 1, Hai El Orkeed - First Zone",Apartments,3,3,212 ,1,2019,Semi Finished,Main Street,"1,190,000"
El Shorouk City,Duplex,3,3,290 ,Ground,2024,Lux,Main Street,"3,162,500"
"Neighbourhood 3, Hai Gardinia - Fourth Zone",Apartments,3,2,184 ,3,2020,Semi Finished,Main Street,"975,000"
"Alborouj Compound - Imkan Misr, Compounds in Elshorouk City",Apartments,2,2,134 ,1,2021,Super lux,Other,"1,589,014"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,2,3,129 ,1,2021,Semi Finished,Garden,"1,632,750"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartment with Garden,2,3,125 ,Ground,2021,Semi Finished,Garden,"1,767,375"
"Neighbourhood 3, Hai El Nargs - Fifth Zone",Apartments,3,2,138 ,1,2021,Semi Finished,Back,"680,000"
"Neighbourhood 1, Hai El Nargs - Fifth Zone",Apartment with Garden,3,3,205 ,Ground,2018,Extra super lux,Main Street,"1,000,000"
ElShorok,Apartment with Garden,3,3,179 ,Ground,2020,Semi Finished,Main Street,"2,687,000"
"Alborouj Compound - Imkan Misr, Compounds in Elshorouk City",Apartments,2,2,134 ,5,2021,Super lux,Other,"1,744,544"
El Shorouk City,Apartment with Garden,4,4,330 ,Ground,2020,Semi Finished,Main Street,"4,060,000"
"Neighbourhood 4, Hai El Orkeed - First Zone",Apartments,3,3,205 ,3,2021,Semi Finished,Corner,"1,148,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,3,3,150 ,1,2030,Semi Finished,Main Street,"1,730,250"
"May Fair, Compounds in Elshorouk City",Separate Villa,8,4,660 ,2030,Super lux,Garden,,"17,000,000"
"Neighbourhood 4, Hai Gardinia - Fourth Zone",Duplex,4,3,340 ,Ground,2020,Semi Finished,Garden,"1,530,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Penthouse,2,2,125 ,3,2021,Semi Finished,Garden,"1,772,450"
"Granda Life Compound - Egygab, Compounds in Elshorouk City",Town House,4,3,242 ,2021,Super lux,Garden,,"6,376,329"
"Neighborhood 1, Hai El Andalous - First Neighborhood East",Residential Land,,,500 ,Other,,,,"3,500,000"
"Granda Life Compound - Egygab, Compounds in Elshorouk City",Apartments,3,3,186 ,3,2020,Without Finish,Garden,"2,350,000"
"Neighbourhood 3, Hai El-Morgan - Fourth Neighborhood",Apartments,4,3,188 ,2,2021,Semi Finished,Garden,"1,146,800"
"Sixteenth Neighborhood, El Sheikh Zayed City",Apartments,3,2,115 ,Ground,2018,Super lux,Main Street,"1,250,000"
"Neighbourhood 3, Hai El Lotus - Seventh Zone",Apartments,3,3,210 ,1,2020,Semi Finished,Main Street,"1,150,000"
"Neighbourhood 2 B, Hai El Massa - Second Neighborhood West",Apartments,1,1,132  ,5,2021,Semi Finished,Main Street,"700,000"
ElShorouk,Apartments,2,2,106 ,6,2022,Super lux,Main Street,"2,100,000"
"Compounds In El Shorouk City, Compounds in Elshorouk City",Apartments,3,3,151 ,Ground,2021,Lux,Garden,"1,500,000"
"Neighbourhood 2, Hai Tulip - Sixth Zone",Apartments,3,3,185 ,1,2018,Semi Finished,Main Street,"910,000"
"Hai El Aqiiq - El Nady District, El Shorouk",Apartments,4,3,315 ,2,2021,Semi Finished,Garden,"2,205,000"
"Paradise, Compounds in Elshorouk City",Twin House,4,4,290 ,2015,Super lux,,,"7,500,000"
"Neighbourhood 2, Hai El-Morgan - Fourth Neighborhood",Apartments,3,3,175 ,2,2020,Semi Finished,Garden,"990,000"
"Neighbourhood 4, Hai El-Morgan - Fourth Neighborhood",Duplex,5,3,295 ,Ground,2021,Semi Finished,Other,"1,490,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartment with Garden,2,2,141 ,1,2021,Semi Finished,Garden,"1,547,000"
"May Fair, Compounds in Elshorouk City",Separate Villa,4,4,350 ,2012,Super lux,Garden,,"7,700,000"
"Neighborhood 3, Hai El Andalous - First Neighborhood East",Duplex,3,3,320 ,Ground,2020,Semi Finished,Garden,"1,440,000"
"Neighbourhood 5, Hai Marbaila - Third Neighborhood East",Apartment with Garden,3,2,175 ,Ground,2020,Semi Finished,Corner,"1,000,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartment with Garden,3,3,161 ,Ground,2021,Semi Finished,Garden,"1,978,750"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Penthouse,3,3,159 ,3,2021,Semi Finished,Main Street,"2,127,950"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,1,3,168 ,1,2021,Semi Finished,Garden,"1,901,850"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,3,3,190 ,2,2021,Semi Finished,Garden,"2,414,250"
على طريق الحرية,Stores,,,33 ,Without Finish,,,,"1,254,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Duplex,3,3,290 ,Ground,2030,Semi Finished,Garden,"3,564,750"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,3,3,160 ,2,2021,Semi Finished,Garden,"1,828,250"
"SODIC East, Compounds in New Heliopolis",Town House,3,3,234 ,2021,Semi Finished,Garden,,"5,555,000"
"Neighbourhood 11, Hai Marbaila - Third Neighborhood East",Apartment with Garden,3,3,205 ,Ground,2022,Semi Finished,Main Street,"1,271,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartment with Garden,2,3,125 ,Ground,2021,Semi Finished,Garden,"1,767,375"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Penthouse,3,2,159 ,3,2021,Semi Finished,Garden,"2,127,650"
"Ivy Residence, Compounds in Elshorouk City",Apartments,2,2,129 ,2,2021,Semi Finished,Garden,"1,645,650"
"Neighbourhood 1, Hai El Lotus - Seventh Zone",Duplex,3,2,250 ,Ground,2018,Semi Finished,Back,"1,000,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Duplex,3,3,291 ,Ground,2021,Semi Finished,Garden,"3,500,550"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,3,3,201 ,2,2021,Semi Finished,Garden,"2,311,650"
"Neighbourhood 2, Hai El Nargs - Fifth Zone",Apartments,2,1,85 ,Ground,2021,Semi Finished,Back,"370,000"
جامع عباد الرحمن,Duplex,3,3,203 ,3,2018,Semi Finished,,"860,000"
"Neighbourhood 2 O, Hai El Massa - Second Neighborhood West",Villas,12,12,470 ,Super lux,,,,"3,500,000"
"مدينة الشروق, Greater Cairo",Town House,5,4,300 ,Super lux,,,,"6,100,000"
"Neighbourhood 2, Hai Tulip - Sixth Zone",Penthouse,4,3,203 ,3,2018,Semi Finished,Main Street,"860,000"
"مدينة الشروق, Greater Cairo",Town House,5,4,288 ,Semi Finished,Side Street,,,"4,950,000"
"Alborouj Compound - Imkan Misr, Compounds in Elshorouk City",Penthouse,4,4,276 ,2,2021,Extra super lux,Garden,"2,500,000"
كمبوند الوادى,Apartments,3,2,144 ,1,2016,Extra super lux,,"1,400,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,3,3,170 ,1,2021,Semi Finished,Garden,"2,145,250"
"مدينة الشروق, Greater Cairo",Town House,5,4,288 ,Semi Finished,,,,"4,750,000"
"Neighbourhood 7, Hai Marbaila - Third Neighborhood East",Separate Villa,12,8,1000 ,2012,Super lux,Garden,,"11,500,000"
"Neighborhood 3, Hai Ghernata - Second Neighborhood - East",Villas,16,12,1600 ,2012,Super lux,Main Street,,"11,500,000"
"SODIC East, Compounds in New Heliopolis",Apartments,5,4,181 ,3,2021,Semi Finished,,"2,632,000"
"SODIC East, Compounds in New Heliopolis",Apartments,4,4,181 ,1,2021,Semi Finished,,"2,632,000"
El Shorouk City,Apartment with Garden,3,3,334 ,Ground,2022,Semi Finished,Garden,"2,792,800"
El Shorouk City,Stores,,,17 ,Extra super lux,Main Street,,,"1,553,171"
New Heliopolis,Apartments,3,1,156 ,2,2023,Semi Finished,Main Street,"2,335,000"
"Neighbourhood 2, Hai El Zmourod - Seventh Neighborhood",Apartments,3,2,135 ,1,2021,Semi Finished,Back,"797,000"
New Cairo,Clinics,1,1,74 ,2,2018,Lux,Main Street,"3,000,000"
New Heliopolis,Separate Villa,4,2,340 ,2023,Semi Finished,Main Street,,"10,291,000"
New Cairo,Clinics,1,1,60 ,3,2018,Lux,Main Street,"2,500,000"
"SODIC East, Compounds in New Heliopolis",Apartments,4,4,180 ,2,2021,Semi Finished,,"2,647,000"
"Neighbourhood 2, Hai El Orkeed - First Zone",Apartment with Garden,3,3,165 ,Ground,2020,Semi Finished,Main Street,"925,000"
El Shorouk City,Stores,,,18 ,Extra super lux,Main Street,,,"1,644,500"
El Shorouk City,Apartments,3,2,212 ,2,2022,Semi Finished,Back,"2,641,706"
New Heliopolis,Apartments,3,1,140 ,2,2023,Semi Finished,Main Street,"2,762,000"
New Heliopolis,Apartments,3,1,177 ,4,2023,Semi Finished,Main Street,"5,129,000"
New Heliopolis,Apartments,3,1,164 ,3,2023,Semi Finished,Main Street,"2,426,000"
El Shorouk City,Stores,,,28 ,Extra super lux,Main Street,,,"2,558,164"
New Heliopolis,Separate Villa,4,2,395 ,2023,Semi Finished,Main Street,,"12,285,000"
El Shorouk City,Stores,,,46 ,Extra super lux,Main Street,,,"4,202,698"
El Shorouk City,Apartments,3,2,209 ,Ground,2022,Semi Finished,Garden,"2,087,583"
مستشفي الخاص الطب الدولي - جامع الرحمن,Duplex,4,4,227 ,3,2018,Semi Finished,,"922,000"
New Heliopolis,Apartment with Garden,3,1,150 ,2,2023,Semi Finished,Main Street,"3,101,000"
El Shorouk City,Stores,,,55 ,Extra super lux,Main Street,,,"5,024,965"
New Heliopolis,Apartments,3,1,142 ,2,2023,Semi Finished,Main Street,"2,096,000"
El Shorouk City,Penthouse,3,2,307 ,3,2021,Extra super lux,Main Street,"3,912,292"
New Heliopolis,Apartment with Garden,3,1,160 ,Ground,2023,Semi Finished,Main Street,"3,108,000"
El Shorouk City,Twin House,4,3,300 ,2030,Extra super lux,Pool,,"5,964,000"
El Shorouk City,Twin House,4,3,300 ,2030,Extra super lux,Pool,,"5,964,000"
El Shorouk City,Apartments,3,2,217 ,1,2022,Semi Finished,Main Street,"2,646,478"
El Shorouk City,Town House,3,3,245 ,2030,Extra super lux,Pool,,"4,870,600"
El Shorouk City,Apartments,3,3,207 ,1,2024,Lux,Main Street,"2,133,000"
New Heliopolis,Apartment with Garden,3,2,160 ,Ground,2030,Semi Finished,Main Street,"2,501,000"
New Heliopolis,Apartments,3,1,161 ,2,2023,Semi Finished,Main Street,"2,453,000"
El Shorouk City,Penthouse,3,2,302 ,1,2021,Extra super lux,Main Street,"4,053,500"
New Heliopolis,Apartments,3,1,158 ,4,2023,Semi Finished,Main Street,"3,104,000"
ElShorok,Apartments,3,2,250 ,4,2020,Without Finish,Main Street,"3,375,000"
El Shorouk City,Penthouse,3,1,300 ,3,2021,Extra super lux,Main Street,"3,723,000"
El Shorouk City,Stores,,,29 ,Extra super lux,Main Street,,,"2,649,527"
El Shorouk City,Penthouse,3,3,399 ,3,2022,Semi Finished,Back,"3,920,403"
El Shorouk City,Villas,3,3,405 ,2030,Extra super lux,Pool,,"8,051,400"
ElShorok,Apartments,3,2,158 ,3,2020,Semi Finished,Main Street,"2,176,000"
El Shorouk City,Penthouse,3,3,335 ,3,2022,Semi Finished,Back,"2,943,425"
New Cairo,Clinics,1,1,45 ,2,2018,Lux,Main Street,"1,800,000"
"El Shorouk Springs, Compounds in Elshorouk City",Apartments,3,2,160 ,2,Semi Finished,,,"800,000"
El Shorouk City,Penthouse,3,3,330 ,3,2022,Semi Finished,Main Street,"3,575,336"
New Heliopolis,Separate Villa,4,2,246 ,2030,Semi Finished,Main Street,,"7,701,000"
New Heliopolis,Apartments,4,1,179 ,4,2023,Semi Finished,Main Street,"2,673,000"
El Sherouk,Villas,5,4,309 ,2025,Extra super lux,Main Street,,"3,750,000"
New Heliopolis,Apartments,3,1,163 ,3,2023,Semi Finished,Main Street,"2,418,000"
New Heliopolis,Town House,4,2,208 ,2023,Semi Finished,Main Street,,"5,777,000"
New Heliopolis,Apartment with Garden,3,1,159 ,Ground,2023,Semi Finished,Main Street,"4,573,000"
El Shorouk City,Penthouse,3,3,399 ,3,2022,Semi Finished,Main Street,"3,803,080"
New Heliopolis,Apartments,3,1,162 ,3,2023,Semi Finished,Main Street,"3,169,000"
New Heliopolis,Apartments,3,1,165 ,2,2023,Semi Finished,Main Street,"2,441,000"
"Neighbourhood 2, Hai Gardinia - Fourth Zone",Apartments,3,2,165 ,3,2016,Semi Finished,Back,"650,000"
El Shorouk City,Apartments,3,3,178 ,1,2022,Semi Finished,Main Street,"2,580,450"
New Heliopolis,Apartments,5,2,213 ,2,2023,Semi Finished,Main Street,"5,454,000"
El Shorouk City,Apartments,3,2,189 ,3,2030,Extra super lux,Main Street,"2,072,385"
"Granda Alshrouk Compound - Egygab, Compounds in Elshorouk City",Apartment with Garden,3,3,205 ,Ground,2025,Semi Finished,,"2,700,000"
El Shorouk City,Penthouse,3,3,311 ,3,2022,Semi Finished,Back,"3,007,363"
"مدينة الشروق, Greater Cairo",Apartment with Garden,3,2,175 ,1,2021,Semi Finished,Garden,"900,000"
El Shorouk City,Twin House,3,3,300 ,2030,Extra super lux,Pool,,"5,964,000"
El Shorouk City,Apartments,3,2,176 ,2,2030,Extra super lux,Main Street,"1,929,840"
New Heliopolis,Apartments,4,1,179 ,2,2023,Semi Finished,Main Street,"3,993,000"
New Heliopolis,Apartments,2,1,161 ,4,2023,Semi Finished,Main Street,"3,121,000"
"Compounds In El Shorouk City, Compounds in Elshorouk City",Land,,,525 ,Main Street,,,,"4,000,000"
New Heliopolis,Apartments,4,1,182 ,3,2023,Semi Finished,Main Street,"3,508,000"
New Heliopolis,Apartments,4,1,180 ,2,2023,Semi Finished,Main Street,"4,650,000"
ElShorok,Apartments,2,2,123 ,4,2020,Semi Finished,Main Street,"1,907,000"
New Heliopolis,Separate Villa,5,2,251 ,2023,Semi Finished,Main Street,,"8,308,000"
New Cairo,Clinics,1,1,50 ,Ground,2018,Lux,Main Street,"2,000,000"
New Heliopolis,Apartments,4,1,181 ,3,2023,Semi Finished,Main Street,"3,630,000"
"Neighbourhood 1, Hai El Banafsg - Ninth Zone",Apartments,3,3,175 ,2,2021,Semi Finished,Garden,"850,000"
