address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Omar Ibn El-Khattab St., El Khalafwai",Apartments,3,1,110 ,6,1970,Super lux,Main Street,"775,000"
"El-Amal Ln, El Khalafwai",Apartments,3,1,100 ,Ground,2007,Super lux,Side Street,"550,000"
"El-Amal Ln, El Khalafwai",Apartments,2,1,60 ,5,2002,Lux,Side Street,"450,000"
"Ahmed El-Rashidy St., El Khalafwai",Apartments,3,1,80 ,2,2009,Super lux,Side Street,"450,000"
"El-Amal Ln, El Khalafwai",Apartments,4,1,137 ,3,2010,Super lux,Main Street,"850,000"
"Shobra St., El Sahel",Apartments,2,1,150 ,5,1970,Super lux,Back,"875,000"
"Bahgat Sharara St., El Khalafwai",Apartments,5,2,140 ,1,1960,Lux,Side Street,"870,000"
"Omar Ibn El-Khattab St., El Khalafwai",Apartments,3,1,175 ,3,2010,Super lux,Side Street,"1,950,000"
بشبرا مصر متفرع من شارع احمد حلمى وبجوار مستشفى شبرا العام,Stores,,,25 ,Lux,Corner,,,"500,000"
بشبرا مصر متفرع من شارع احمد حلمى وبجوار مستشفى شبرا العام,Stores,,,25 ,Lux,,,,"500,000"
"Sadr Al Din St., El Khalafwai",Apartments,3,2,210 ,11,2009,Super lux,Main Street,"2,100,000"
"Nasr Al Horieni St., El Khalafwai",Apartments,2,1,80 ,6,Lux,Main Street,,"450,000"
"Dolenat St., El Khalafwai",Apartments,2,1,160 ,9,2005,Super lux,Main Street,"980,000"
"Tafteesh Al Rai St., El Khalafwai",Apartments,3,2,265 ,11,2000,Semi Finished,Main Street,"2,000,000"
"Omar Ibn El-Khattab St., El Khalafwai",Apartments,3,1,110 ,6,1970,Super lux,Main Street,"775,000"
"Masnaa Al Simad St., El Khalafwai",Apartments,3,1,70 ,Lux,Side Street,,,"230,000"
"Al Sheikh Ahmed Rafeaa St., El Khalafwai",Apartments,3,1,120 ,3,1994,Lux,Side Street,"950,000"
شارع معهد ناصر - معهد ناصر,Apartments,2,2,170 ,29,1985,Super lux,,"2,000,000"
"Sadr Al Din St., El Khalafwai",Apartments,3,2,194 ,7,2005,Super lux,Side Street,"1,300,000"
"Sadr Al Din St., El Khalafwai",Apartments,2,1,140 ,11,2005,Super lux,Main Street,"750,000"
"Dr Moustafa Al Nagdi St., El Khalafwai",Apartments,3,1,90 ,1,1955,Lux,Side Street,"650,000"
