address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Shobra St., El Sahel",Apartments,3,3,200  ,20,2005,Super lux,Nile,"4,400,000"
"Shobra St., El Sahel",Apartments,3,1,150  ,9,2004,Super lux,Main Street,"1,400,000"
"Youssef Mansour St., El Sahel",Stores,,,28 ,Super lux,Side Street,,,"450,000"
"Rateb St., El Sahel",Apartments,3,2,150 ,6,2011,Super lux,Garden,"1,500,000"
"Kamal El-Deen Hussein St., El Sahel",Apartments,2,1,75 ,1,2003,Lux,Side Street,"700,000"
"Mourad St., El Sahel",Apartments,3,1,200 ,7,1998,Super lux,Corner,"1,500,000"
"Bahari Al Qarqul St., El Sahel",Apartments,2,1,115 ,10,2005,Super lux,Main Street,"1,500,000"
"Ahmed El-Zanaty St., El Sahel",Apartments,3,1,151 ,2,2011,Super lux,Side Street,"900,000"
"Emtedad Ahmed Helmy St., El Sahel",Duplex,3,2,190 ,2,2010,Super lux,Main Street,"2,200,000"
"Mamal Al Alaban St., El Sahel",Apartments,2,1,125 ,4,2005,Semi Finished,Main Street,"980,000"
"Sherif Mohammed St., El Sahel",Apartments,2,2,135 ,8,2017,Super lux,Side Street,"980,000"
"Abou Zaid St., El Sahel",Apartments,2,1, 90 ,4,1980,Lux,Main Street,"450,000"
"Gesr Al Bahr St., El Sahel",Apartments,2,1,135 ,2,2002,Lux,Main Street,"930,000"
"Emtedad Ahmed Helmy St., El Sahel",Apartments,3,1,70 ,2,2004,Super lux,Side Street,"390,000"
"Kashkosh St., El Sahel",House / Home,3,1,150 ,2,1983,Lux,Side Street,"2,000,000"
"Emtedad Ahmed Helmy St., El Sahel",Apartments,3,1,150 ,3,2004,Super lux,Main Street,"820,000"
"Gesr Al Bahr St., El Sahel",Apartments,3,2,122 ,6,2015,Super lux,Main Street,"950,000"
"Mohamed Al Khalafawy St., El Sahel",Apartments,3,1,110 ,4,2030,Super lux,Main Street,"700,000"
"Shobra St., El Sahel",Apartments,2,1,75 ,1,2015,Super lux,Side Street,"570,000"
"Abou Zaid St., El Sahel",Apartments,2,1,90 ,4,1990,Lux,Side Street,"510,000"
"Shobra St., El Sahel",Apartments,4,3,290 ,12,2015,Extra super lux,Main Street,"4,000,000"
٢٩ شارع جامع ابو الفضل - الساحل,Apartments,3,1,100 ,4,2015,Lux,Side Street,"1,150,000"
"Shobra St., El Sahel",Storage,,,100 ,Side Street,,,,"100,000"
"Rateb St., El Sahel",House / Home,,,130 ,2030,Semi Finished,Corner,,"2,500,000"
"Sherif Mohammed St., El Sahel",House / Home,6,3,122 ,2030,Super lux,Corner,,"3,000,000"
محطه مترو سانت تريز,Storage,,,100 ,Side Street,,,,"600,000"
"El-Shaheed Saleh Hefny St., El Sahel",House / Home,8,2,80 ,1967,Lux,Other,,"1,000,000"
"Ebeid St., El Sahel",Apartments,6,3,225 ,7,2018,Super lux,Nile,"3,800,000"
"Shobra St., El Sahel",Apartments,2,1,80 ,4,1980,Lux,Side Street,"160,000"
"Gesr Al Bahr St., El Sahel",Apartments,2,1,100 ,4,2001,Super lux,Side Street,"550,000"
"Emtedad Ahmed Helmy St., El Sahel",Apartments,4,1,120 ,2,2009,Super lux,Main Street,"820,000"
"Shawqi St., El Sahel",Apartments,3,1,80 ,1,Super lux,,,"450,000"
"Shobra St., El Sahel",Apartments,2,1,100 ,2,2010,Super lux,Corner,"800,000"
"Kamal El-Deen Hussein St., El Sahel",Apartments,3,1,90 ,3,2013,Super lux,Side Street,"400,000"
"Tawfik Hanna St., El Sahel",Apartments,2,1,85 ,5,1981,Lux,Corner,"490,000"
"Shobra St., El Sahel",Apartments,3,1,110 ,3,2010,Super lux,Side Street,"750,000"
"Al Sheshini St., El Sahel",Apartments,3,2,140 ,7,2001,Super lux,Seaview,"1,300,000"
"Taher St., El Sahel",Apartments,3,2,150 ,7,2004,Super lux,Side Street,"1,000,000"
"Emtedad Ahmed Helmy St., El Sahel",Apartments,2,1,70 ,2,1999,Super lux,Main Street,"400,000"
"Rateb St., El Sahel",Apartments,3,2,150 ,6,2011,Super lux,Main Street,"1,500,000"
