address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Abou El Farag St., Rod El Farag",Apartments,3,1,135 ,3,2013,Super lux,Main Street,"1,350,000"
"Mohammed Abd Al Motaal St., Rod El Farag",Apartments,2,1,70 ,1,2010,Super lux,Side Street,"600,000"
"Baghdadi St., Rod El Farag",Apartments,2,1,80 ,3,2010,Super lux,Side Street,"650,000"
"Street 10, Rod El Farag",Apartments,2,1,70 ,5,2011,Super lux,Side Street,"415,000"
"Mekhaell Salep St., Rod El Farag",Apartments,3,1,140 ,9,2004,Super lux,Main Street,"950,000"
"Al Arousi St., Rod El Farag",Apartments,2,1,85 ,5,2003,Super lux,Main Street,"620,000"
"Al Azraa Church, Rod El Farag",Apartments,2,1,100 ,5,2015,Super lux,Back,"1,050,000"
"Mohammed Abd Al Motaal St., Rod El Farag",Apartments,3,1,155 ,4,2005,Super lux,Side Street,"1,450,000"
"Mohammed Abd Al Motaal St., Rod El Farag",Apartments,3,2,147 ,5,2010,Super lux,Side Street,"550,000"
"Al Kahal St., Rod El Farag",Apartments,2,2, 115 ,3,2012,Super lux,Side Street,"970,000"
"Mohammed Abd Al Motaal St., Rod El Farag",Apartments,3,1,100 ,4,2002,Super lux,Side Street,"650,000"
"Mohammed Abd Al Motaal St., Rod El Farag",Apartments,3,2,165 ,5,2010,Super lux,Side Street,"1,400,000"
"Kholosi St., Rod El Farag",House / Home,,,200 ,1960,Lux,Side Street,,"20,000,000"
"Abou El Farag St., Rod El Farag",Apartments,3,2,260 ,5,2004,Super lux,Side Street,"1,500,000"
"Kholosi St., Rod El Farag",Apartments,2,2,175 ,10,2004,Lux,Side Street,"1,487,500"
"Al Azraa Church, Rod El Farag",Apartments,2,1,80 ,3,2012,Super lux,Side Street,"600,000"
تحت العماره صيدليه و سوبرمركت,Apartments,3,1,150 ,7,2005,Lux,Main Street,"1,450,000"
"Abou El Farag St., Rod El Farag",Apartments,3,1,1380 ,3,2012,Super lux,Main Street,"1,350,000"
"Al Azraa Church, Rod El Farag",Apartments,3,1,90 ,3,Super lux,Side Street,,"400,000"
"Kholosi St., Rod El Farag",Apartments,6,3,225 ,7,2018,Super lux,Nile,"2,800,000"
"Rod El Farag, Shoubra",Apartments,2,,100 ,5,2010,Semi Finished,Back,"700,000"
"Ahmed Hafez Awad St., Rod El Farag",Apartments,3,1,80 ,5,2012,Extra super lux,Corner,"800,000"
"Mohammed Abd Al Motaal St., Rod El Farag",Apartments,3,1,80 ,5,2001,Super lux,Main Street,"180,000"
"Ali Abd El Raheem St., Rod El Farag",Factory,,,90 ,1982,Lux,Side Street,,"850,000"
"El Arish St., Rod El Farag",Apartments,2,1,70 ,1,1985,Lux,Side Street,"450,000"
"Mohammed Abd Al Motaal St., Rod El Farag",Apartments,2,1,50 ,7,2030,Super lux,,"25,000"
