address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
Mostakbal City,Studio,1,2,66 ,1,2023,Extra super lux,Main Street,"790,000"
Kattameya,Administrative,,,53 ,Main Street,,,,"1,484,000"
Kattameya,Apartments,4,2,138 ,2,2020,Semi Finished,Main Street,"4,198,000"
Mostakbal City,Duplex,1,2,152 ,Ground,2024,Extra super lux,Main Street,"1,460,000"
Mostakbal City,Apartments,2,2,85 ,2,2024,Extra super lux,Main Street,"1,275,000"
"Industrial zone, New Cairo - Fifth Settlement - Tagamoa",Factory,,,3000 ,2018,Extra super lux,Main Street,,"27,000,000"
"Takseam El Andlos, New Cairo - Fifth Settlement - Tagamoa",Apartments,4,3,295 ,4,2017,Extra super lux,Other,"2,400,000"
"El Yasmeen 1, El Yasmeen",Apartments,5,3,245 ,Ground,2021,Semi Finished,Side Street,"2,450,000"
المشتثمر الصغير,Apartments,3,3,140 ,5,2021,Semi Finished,Main Street,"1,025,000"
"Azzar 2 Compound, Compounds in New Cairo",Villas,4,3,230 ,2020,Semi Finished,Garden,,"5,980,000"
EASTOWN,Apartments,2,3,154 ,3,2019,Without Finish,Side Street,"2,600,000"
Kattameya,Apartments,2,2,107 ,2,2020,Semi Finished,Main Street,"2,304,626"
"Second Neighborhood, Bait El Watan",Apartments,3,2,130 ,Ground,2024,Semi Finished,Main Street,"978,000"
Azadir - New Cairo,Apartments,3,3,130 ,1,2024,Semi Finished,Garden,"2,359,500"
"El Narges 6, El Narges",Duplex,3,3,280 ,1,2016,Super lux,Main Street,"4,000,000"
New Cairo,Offices,1,1,43 ,1,2024,Extra super lux,Main Street,"1,435,416"
"El Choueifat, New Cairo - Fifth Settlement - Tagamoa",Apartments,3,2,110 ,4,2015,Extra super lux,Main Street,"3,300,000"
"Fifth Neighborhood, Bait El Watan",Apartments,2,2,185 ,3,2023,Semi Finished,Main Street,"1,116,000"
"First Neighborhood, Bait El Watan",Apartments,3,3,180 ,1,2023,Semi Finished,Main Street,"1,080,000"
"Fifth Neighborhood, Bait El Watan",Apartments,3,2,330 ,2,2023,Semi Finished,Main Street,"2,125,000"
"Southern Investors, New Cairo - Fifth Settlement - Tagamoa",Apartments,3,2,155 ,2,2015,Semi Finished,,"2,170,000"
"Abo Obida El Grah St., El Yasmeen 7",Duplex,5,4,550 ,3,2016,Super lux,Side Street,"5,300,000"
eastown,Duplex,3,4,234 ,2,Without Finish,Side Street,,"4,100,000"
New Cairo,Stores,1,1,94 ,1,2024,Semi Finished,Main Street,"4,493,724"
Kattameya,Clinics,,,50 ,Main Street,,,,"1,400,000"
New Cairo,Clinics,1,1,100 ,2,2024,Extra super lux,Other,"3,003,600"
New Cairo,Apartments,3,4,180 ,2,2021,Semi Finished,Main Street,"3,807,000"
"Fifth Neighborhood, Bait El Watan",Apartments,3,2,182 ,2,2024,Semi Finished,Main Street,"1,073,800"
"Fifth Neighborhood, Bait El Watan",Apartments,2,1,177 ,2,2023,Semi Finished,Main Street,"1,233,000"
"Mountain View Hyde Park, Compounds in New Cairo",iVilla,4,3,278 ,Ground,2019,Semi Finished,Pool,"3,640,000"
المربع الذهبي، القاهرة الجديدة - التجمع الخامس,Apartments,2,2,128 ,1,2018,Without Finish,Side Street,"1,550,000"
"First Neighborhood, Bait El Watan",Apartment with Garden,4,3,210 ,Ground,2023,Semi Finished,Main Street,"1,260,000"
بالم هيز,Apartments,3,2,135 ,2,2024,Semi Finished,,"877,500"
"Second Zone Villas, Madinaty",Villas,6,6,660 ,2012,Super lux,,,"30,000,000"
"First Neighborhood, Bait El Watan",Apartment with Garden,3,3,200 ,Ground,2023,Semi Finished,Main Street,"1,200,000"
"The Third Area - Lotus south , Lotus south",Apartments,2,2,108 ,2,2016,semi_finished,Back,"810,000"
"Fifth Neighborhood, Bait El Watan",Apartments,3,2,182 ,2,2024,Semi Finished,Main Street,"1,073,800"
"Southern Investors, New Cairo - Fifth Settlement - Tagamoa",Apartments,3,2,155 ,4,2015,Semi Finished,Side Street,"2,562,500"
"The First Area - Lotus North, Lotus North",Apartment with Garden,4,3,200 ,Ground,2020,Semi Finished,Main Street,"1,700,000"
"El Narges Omarat, El Narges",Apartments,3,3,165 ,2,2020,Semi Finished,Garden,"1,320,000"
"Ahmed Lotfy El Sayed St, El Narges Omarat",Apartments ,3,3,197 ,5,2010,Semi Finished,Garden,"1,350,000"
"Mountain View iCity Compound - DMG, Compounds in New Cairo",Penthouse,4,3,235 ,2,Semi Finished,Garden,,"2,600,000"
Apartment for sale 106m in Madinaty Group B2,Apartments,2,1,106 ,6,2021,Extra super lux,Main Street,"1,500,000"
بالقرب من محور بن زايد و العاصمه و شارع النوادي و محطة المونوريل و Agora Mall,Duplex,4,3,282 ,Ground,2020,Semi Finished,Side Street,"1,950,000"
"Industrial zone, New Cairo - Fifth Settlement - Tagamoa",Factory,,,300 ,Extra super lux,Main Street,,,"8,000,000"
Kattameya,Apartments,2,2,92 ,2,2020,Semi Finished,Garden,"1,472,000"
"Second Neighborhood, Bait El Watan",Apartment with Garden,3,2,158 ,1,2022,Semi Finished,Main Street,"1,106,000"
"Seventh Neighborhood, Bait El Watan",Apartments,3,2,167 ,3,2022,Semi Finished,Main Street,"1,085,918"
بالقرب من شارع التسعين التجمع الخامس,Apartments,3,2, 165 ,2,2020,Semi Finished,,"1,468,500"
"Mountain View iCity Compound - DMG, Compounds in New Cairo",Apartments,3,3,160 ,2,without_finish,Garden,,"2,304,000"
"Fifth Neighborhood, Bait El Watan",Duplex,2,1,270 ,2,2023,Semi Finished,Main Street,"1,660,000"
"First Neighborhood, Bait El Watan",Apartments,3,3,205 ,1,2023,Semi Finished,Main Street,"1,230,000"
"Fifth Neighborhood, Bait El Watan",Apartment with Garden,4,3,197 ,Ground,2024,Semi Finished,Corner,"1,221,400"
"New Narges, New Cairo - Fifth Settlement - Tagamoa",Apartments,3,2,139 ,Ground,Semi Finished,Corner,,"1,223,200"
"El Yasmeen 1, El Yasmeen",Roof,4,3,265 ,3,2020,Semi Finished,Side Street,"2,250,000"
Mostakbal City,Apartments,4,1,188 ,2,2023,Semi Finished,Main Street,"2,654,000"
"Imtidad El Narges, New Cairo - Fifth Settlement - Tagamoa",Apartments,3,3,161 ,1,2023,Semi Finished,Main Street,"1,308,600"
Kattameya,Apartments,1,1,52 ,1,2021,Semi Finished,Main Street,"832,000"
"Fifth Neighborhood, Bait El Watan",Apartments,2,1,149 ,3,2023,Semi Finished,Main Street,"965,000"
خطوات من محور طلعت حرب وشارع جمال عبد الناصر,Apartments,3,3,163 ,1,2023,Semi Finished,,"1,344,750"
"First Neighborhood, Bait El Watan",Apartments,3,1,140 ,Ground,2023,Semi Finished,Main Street,"805,000"
"Fourth Neighborhood, Bait El Watan",Apartments,3,2,152 ,3,2023,Semi Finished,Main Street,"1,063,000"
Azadir - New Cairo,Apartments,1,1,60 ,2,2024,Semi Finished,Garden,"1,089,000"
التجمع الخامس,Apartments,2,2,110 ,1,2021,Semi Finished,Main Street,"1,348,000"
"First Neighborhood, Bait El Watan",Apartments,3,3,190 ,2,2023,Semi Finished,Main Street,"1,292,000"
خطوات من شارع النوادى,Apartments,3,3,196 ,3,2022,Semi Finished,,"1,666,000"
New Cairo,Apartments,2,2,165 ,2,2022,Semi Finished,Garden,"1,402,500"
Galleria Moon Vally,Apartments,3,2,157 ,2,2020,Without Finish,Side Street,"1,700,000"
"Lotus South, Lotus",Apartments,3,3,161 ,4,2020,Semi Finished,Side Street,"1,550,000"
بالقرب من شارع التسعين التجمع الخامس,Apartments,3,3,130 ,2020,Semi Finished,,,"1,066,000"
Villa type X For sale in Madinaty VG1 317m,Villas,3,4,317 ,2021,Without Finish,Garden,,"6,750,000"
"Fourth Zone Villas, Madinaty",Separate Villa,3,4,316 ,2012,Without Finish,Garden,,"7,000,000"
"Fifth Zone Villas, Madinaty",Town House,3,4,231 ,2019,Without Finish,Side Street,,"4,000,000"
"El Banafsag 12, El Banafsag",Duplex,4,4,331 ,Ground,2021,Semi Finished,Garden,"2,550,000"
"Second Zone Buildings, Madinaty",Apartments,2,1,106 ,5,Lux,Garden,,"1,550,000"
"Second Zone Buildings, Madinaty",Apartments,2,1,106 ,6,Lux,Garden,,"1,450,000"
"Mountain View iCity Compound - DMG, Compounds in New Cairo",Duplex,3,3,150 ,3,2024,Super lux,,"2,300,000"
Mountain View iCity,iVilla,3,2,230 ,2025,Without Finish,Other,,"3,700,000"
"Amorada - Afaq Developments, Compounds in New Cairo",Apartments,3,3,191 ,3,2021,Extra super lux,,"2,820,000"
كمبوند هايد بارك التجمع الخامس,Apartments,3,3,208 ,Ground,2021,Super lux,Corner,"5,500,000"
"Stone Residence Compound - PRE, Compounds in New Cairo",Apartments,3,3,150 ,2,Semi Finished,,,"2,330,000"
"Azzar 2 Compound, Compounds in New Cairo",Twin House,5,3,264 ,2020,Semi Finished,Garden,,"9,000,000"
"Lotus South, Lotus",Apartments,3,2,160 ,5,2017,Semi Finished,Back,"1,600,000"
"Sarai Compound - MNHD, Compounds in New Cairo",Twin House,6,6,290 ,2021,Without Finish,Corner,,"4,000,000"
"New Narges, New Cairo - Fifth Settlement - Tagamoa",Apartments,3,2,144 ,Ground,Semi Finished,Main Street,,"1,179,000"
"Capital Gardens Compound - Palm Hills Developments, Compounds in New Cairo",Apartments,3,4,195 ,2,2021,Without Finish,Main Street,"3,000,000"
"Fifth Neighborhood, Bait El Watan",Residential Land,,,705 ,Corner,,,,"2,300,000"
"Second Zone Villas, Madinaty",Villas,6,6,615 ,2012,Super lux,,,"24,000,000"
Villette,Town House,3,3,260 ,2021,Super lux,Garden,,"6,800,000"
GALLERIA MOON VALLEY,Penthouse,3,3,200 ,3,2019,Without Finish,Garden,"2,550,000"
"First Zone Buildings, First Zone Buildings",Apartments,2,1,100 ,2,2013,Super lux,Other,"1,270,000"
"El Maadi Ring Road, El Maadi",Apartments,3,1,118 ,4,2019,Super lux,Main Street,"1,117,660"
"Northern 90th Street, 90th Street",Administrative,3,1,291 ,2,2020,Super lux,Main Street,"17,090,430"
"Fourth Neighborhood, Bait El Watan",Apartment with Garden,4,3,175 ,Ground,2023,Semi Finished,Main Street,"1,185,000"
"Fourth Neighborhood, Bait El Watan",Apartments,4,3,205 ,2,2023,Semi Finished,Main Street,"1,432,500"
"Fifth Neighborhood, Bait El Watan",Apartments,4,3,235 ,2,2023,Semi Finished,Garden,"1,674,500"
"11th St., First Zone Buildings",Apartments,2,1,105 ,2,2012,Super lux,Side Street,"1,250,000"
"Mivida Compound - Emaar, Compounds in New Cairo",Apartments,2,2,156 ,2,2020,Extra super lux,Side Street,"3,500,000"
"Lotus South, Lotus",Apartments,2,3,162 ,3,2010,semi_finished,Side Street,"1,400,000"
"Industrial zone, New Cairo - Fifth Settlement - Tagamoa",Factory,,,1116 ,2018,Semi Finished,Main Street,,"15,000,000"
"Sarai Compound - MNHD, Compounds in New Cairo",Apartments,3,3,166 ,3,2021,Without Finish,Main Street,"1,500,000"
"The Address East Compound - Dorra, Compounds in New Cairo",Apartments,3,2,140 ,Ground,2021,Super lux,Main Street,"2,050,000"
"Gardenia Heights, New Cairo - Fifth Settlement - Tagamoa",Apartments,2,2,105 ,2,2021,Semi Finished,Garden,"600,000"
"(South Academy (A, South of Academy",Duplex,3,2,175 ,1,2020,Super lux,Garden,"2,400,000"
AL Rehab City,Apartments,2,1,93 ,4,Super lux,,,"1,250,000"
"Fourth Neighborhood, Bait El Watan",Apartments,3,3,176 ,2,Semi Finished,Other,,"1,144,000"
Stone Residence,Apartments,3,2,175 ,3,2021,Semi Finished,Other,"3,050,000"
azzar compound 2,Town House,3,3,143 ,Super lux,Garden,,,"5,500,000"
"Gardenia Heights, New Cairo - Fifth Settlement - Tagamoa",Apartments,3,3,210 ,2,Semi Finished,Garden,,"1,300,000"
"Gardenia Heights, New Cairo - Fifth Settlement - Tagamoa",Duplex,3,2,174 ,Ground,2018,Semi Finished,Garden,"800,000"
"El Banafsag Omarat, El Banafsag",Apartments,3,2,180 ,1,2016,Super lux,Main Street,"1,650,000"
"Mountain View iCity Compound - DMG, Compounds in New Cairo",Apartments,3,2,165 ,2,2021,Without Finish,Main Street,"2,300,000"
"New Cairo Extension, New Cairo - Fifth Settlement - Tagamoa",Separate Villa,7,7,600 ,Super lux,Main Street,,,"46,500,000"
"Second Zone Villas, Madinaty",Villas,3,3,330 ,2009,Super lux,Garden,,"7,500,000"
Hyde Park,Town House,3,3,145 ,2014,Semi Finished,Other,,"3,650,000"
palm hills new cairo,Twin House,5,5,297 ,2019,Semi Finished,Garden,,"5,420,000"
"Metro Roundabout, First Zone Buildings",Apartments,3,2,135 ,3,2012,Super lux,Main Street,"1,700,000"
"First Zone Buildings, First Zone Buildings",Apartments,3,2,135 ,2,2014,Super lux,Main Street,"1,700,000"
"Fifth Neighborhood, Bait El Watan",Apartments,2,2,127 ,1,2023,Semi Finished,Garden,"736,600"
"Fourth Neighborhood, Bait El Watan",Apartments,3,3,179 ,Ground,Semi Finished,,,"1,309,200"
"Fourth Neighborhood, Bait El Watan",Land,,,660 ,Corner,,,,"2,600,000"
"Rehab Hills, Rehab",Separate Villa,5,5,470 ,2017,Extra super lux,Garden,,"18,000,000"
"Fifth Neighborhood, Bait El Watan",Residential Land,,,611 ,Side Street,,,,"1,300,000"
"Lotus South, Lotus",Apartments,3,3,180 ,1,2018,Semi Finished,Main Street,"1,800,000"
"Lotus South, Lotus",Duplex,3,3,260 ,Ground,2018,Semi Finished,Main Street,"2,300,000"
"New Cairo Extension, New Cairo - Fifth Settlement - Tagamoa",Land,,,64000 ,Main Street,,,,"400,000,000"
"First Zone Villas, Madinaty",Separate Villa,4,4,441 ,2012,Lux,Garden,,"10,500,000"
"Northern 90th Street, 90th Street",Administrative,5,5,230 ,2,2018,Semi Finished,Main Street,"12,650,000"
"Kattamya Plaza Compound - Sodic, Compounds in New Cairo",Apartments,4,3,156 ,2,2019,Semi Finished,Pool,"3,350,000"
"Group 113, Eleventh Zone Buildings",Furnished Apartment,2,2,96 ,3,2017,Super lux,Garden,"1,200,000"
"Monte Napoleone Compound - Reportage Properties, Compounds in El Mostakbal City",Duplex,4,5,233 ,5,Extra super lux,Garden,,"2,884,000"
