address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Second Neighborhood, Zahraa El Maadi",Apartments,3,2,120 ,5,2024,Semi Finished,Main Street,"1,320,000"
"First Neighborhood, Zahraa El Maadi",Apartments,3,2,116 ,6,2024,Semi Finished,Main Street,"1,020,800"
"Zahraa El Maadi St, Zahraa El Maadi",Showroom,,,1450 ,Extra super lux,Corner,,,"150,000,000"
Maadi,Apartments,3,2,116 ,8,2023,Extra super lux,Main Street,"986,000"
"First Neighborhood, Zahraa El Maadi",Apartments,2,1,103 ,4,2024,Semi Finished,Main Street,"978,500"
"Togary St, Zahraa El Maadi",Apartments,3,1,120 ,11,2011,Super lux,Main Street,"850,000"
Maadi,Apartments,3,2,115 ,7,2020,Extra super lux,Main Street,"977,500"
Maadi,Apartments,2,1,104 ,1,2023,Extra super lux,Main Street,"832,000"
عمارة رقم 3001 مدينة المعراج بجوار كارفور بالمعادى,Apartments,3,2,160 ,4,2007,Super lux,,"1,250,000"
Maadi,Apartments,2,1,104 ,5,2023,Extra super lux,Main Street,"832,000"
"Compounds In Maadi, Compounds in Maadi",Compound,,,97 ,Garden,,,,"873,000"
"First Neighborhood, Zahraa El Maadi",Apartments,2,1,78 ,5,2024,Semi Finished,Main Street,"702,000"
"Second Neighborhood, Zahraa El Maadi",Apartments,2,2,136 ,2,Extra super lux,Main Street,,"1,200,000"
Maadi,Apartments,2,1,104 ,8,2023,Extra super lux,Main Street,"832,000"
Maadi,Apartments,2,1,100 ,5,2020,Extra super lux,Main Street,"850,000"
شارع زهراء المعادي، زهراء المعادي,Apartments,3,2,147 ,6,2018,Semi Finished,Side Street,"1,300,000"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,,,130 ,Main Street,,,,"1,170,000"
"First Neighborhood, Zahraa El Maadi",Apartments,2,1,100 ,3,2021,Semi Finished,Main Street,"990,000"
Maadi,Apartments,3,2,159 ,2,2023,Extra super lux,Main Street,"1,351,500"
"Thirteenth Neighborhood, Zahraa El Maadi",Apartments,4,2,280 ,11,2014,Semi Finished,Main Street,"1,700,000"
"El Merag El Elwy, Zahraa El Maadi",Apartments,3,2,140 ,3,2020,Semi Finished,Main Street,"960,000"
"Second Neighborhood, Zahraa El Maadi",Apartments,3,2,135 ,8,2024,Semi Finished,Main Street,"1,485,000"
"Second Neighborhood, Zahraa El Maadi",Apartments,1,1,60 ,7,2024,Semi Finished,Main Street,"630,000"
Maadi,Apartments,2,1,174 ,9,2023,Extra super lux,Main Street,"1,392,000"
"El Merag El Sofli, Zahraa El Maadi",Apartments,2,1,105 ,2,Super lux,Corner,,"650,000"
"El Merag El Elwy, Zahraa El Maadi",Apartments,3,2,165 ,4,2021,Semi Finished,Main Street,"1,402,500"
"First Neighborhood, Zahraa El Maadi",Apartments,4,3,179 ,4,2024,Semi Finished,Main Street,"1,700,500"
"First Neighborhood, Zahraa El Maadi",Apartments,3,3,157 ,6,2023,Semi Finished,Main Street,"1,444,400"
"Abd El Hameid Gouda Al Sahar St., Zahraa El Maadi",Full Floor Administrative,16,2,650 ,1,2006,Lux,Back,"6,500,000"
"Third Neighborhood, Zahraa El Maadi",Apartments,2,2,145 ,2,Super lux,Main Street,,"1,300,000"
شارع الخمسين امام الكنيسة,Apartments,3,3,169 ,5,2021,Semi Finished,Main Street,"1,550,000"
"First Neighborhood, Zahraa El Maadi",Apartments,2,1,92 ,6,2024,Semi Finished,Main Street,"828,000"
"Jodran, Zahraa El Maadi",Apartments,2,1,94 ,2,2019,Semi Finished,Main Street,"689,330"
"El Merag El Elwy, Zahraa El Maadi",Apartments,3,2,176 ,8,2009,Semi Finished,Corner,"1,400,000"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,3,2,210 ,6,Super lux,,,"1,500,000"
"Jodran, Zahraa El Maadi",Apartments,2,1,102 ,6,2020,Semi Finished,Main Street,"971,850"
"Jodran, Zahraa El Maadi",Apartments,1,1,75 ,7,2020,Semi Finished,Main Street,"713,000"
"Thirteenth Neighborhood, Zahraa El Maadi",Duplex,3,3,280 ,10,2012,Super lux,Side Street,"2,600,000"
"Second Neighborhood, Zahraa El Maadi",Apartments,3,2,130 ,4,2024,Semi Finished,Main Street,"1,430,000"
"Second Neighborhood, Zahraa El Maadi",Apartments,2,1,95 ,7,2024,Semi Finished,Main Street,"997,500"
"El Merag El Elwy, Zahraa El Maadi",Apartments,3,3,195 ,4,2018,Semi Finished,Side Street,"1,320,000"
"Sixth Neighborhood, Zahraa El Maadi",Apartments,4,3,225 ,3,2010,Super lux,Garden,"2,100,000"
"Third Neighborhood, Zahraa El Maadi",Apartments,2,2,117 ,4,Semi Finished,Main Street,,"1,550,000"
"Jodran, Zahraa El Maadi",Apartments,3,2,123 ,3,2020,Semi Finished,Main Street,"1,174,200"
"Zahraa El Maadi St, Zahraa El Maadi",Furnished Apartment,6,4,350 ,5,2010,Super lux,Main Street,"3,250,000"
Zahraa Maadi Street,Apartments,3,2,230 ,8,2014,Extra super lux,,"3,000,000"
"Second Neighborhood, Zahraa El Maadi",Apartments,2,1,100 ,6,2024,Semi Finished,Main Street,"1,050,000"
"Seventh Neighborhood, Zahraa El Maadi",Stores,,,110 ,Super lux,Main Street,,,"6,000,000"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,3,2,200 ,Ground,2021,Extra super lux,Garden,"2,250,000"
"Thirteenth Neighborhood, Zahraa El Maadi",Apartments,3,2,145 ,10,Semi Finished,Main Street,,"1,200,000"
Zahraa,Apartments,3,2,170 ,11,2010,without_finish,Main Street,"1,200,000"
"Thirteenth Neighborhood, Zahraa El Maadi",Apartments,2,1,150 ,Ground,Lux,Main Street,,"1,500,000"
"Fifth Neighbourhood, Zahraa El Maadi",Apartments,3,1,220 ,3,Super lux,,,"1,275,000"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,3,2,170 ,3,2014,Super lux,Garden,"1,600,000"
"Zahraa El Maadi St, Zahraa El Maadi",Roof,4,3,250 ,1,2019,Super lux,Side Street,"2,900,000"
"Eighth Neighborhood, Zahraa El Maadi",Apartments,2,1,125 ,1,2018,Without Finish,Main Street,"812,500"
"First Neighborhood, Zahraa El Maadi",Studio,1,1,60 ,4,2023,Semi Finished,Main Street,"660,000"
"Abrag El Yasmeen, Zahraa El Maadi",Apartments,3,2,170 ,2,Super lux,Side Street,,"1,100,000"
